Name,API,Most Followed Acount Followers
Kevin Bacon,"twurl ""/1.1/users/search.json?count=1&q=Kevin Bacon"" | jq '.[] | .followers_count'$'\n' >> output.log",648001
Patrick Swayze,"twurl ""/1.1/users/search.json?count=1&q=Patrick Swayze"" | jq '.[] | .followers_count'$'\n' >> output.log",1389
Michael Caine,"twurl ""/1.1/users/search.json?count=1&q=Michael Caine"" | jq '.[] | .followers_count'$'\n' >> output.log",625665
Clint Eastwood,"twurl ""/1.1/users/search.json?count=1&q=Clint Eastwood"" | jq '.[] | .followers_count'$'\n' >> output.log",48538
Burt Lancaster,"twurl ""/1.1/users/search.json?count=1&q=Burt Lancaster"" | jq '.[] | .followers_count'$'\n' >> output.log",359
Robert Mitchum,"twurl ""/1.1/users/search.json?count=1&q=Robert Mitchum"" | jq '.[] | .followers_count'$'\n' >> output.log",198
Colin Farrell,"twurl ""/1.1/users/search.json?count=1&q=Colin Farrell"" | jq '.[] | .followers_count'$'\n' >> output.log",2638
William Holden,"twurl ""/1.1/users/search.json?count=1&q=William Holden"" | jq '.[] | .followers_count'$'\n' >> output.log",1902
Edward G. Robinson,"twurl ""/1.1/users/search.json?count=1&q=Edward G. Robinson"" | jq '.[] | .followers_count'$'\n' >> output.log",845
William Powell,"twurl ""/1.1/users/search.json?count=1&q=William Powell"" | jq '.[] | .followers_count'$'\n' >> output.log",4583
Errol Flynn,"twurl ""/1.1/users/search.json?count=1&q=Errol Flynn"" | jq '.[] | .followers_count'$'\n' >> output.log",3501
Groucho Marx,"twurl ""/1.1/users/search.json?count=1&q=Groucho Marx"" | jq '.[] | .followers_count'$'\n' >> output.log",354863
James Mason,"twurl ""/1.1/users/search.json?count=1&q=James Mason"" | jq '.[] | .followers_count'$'\n' >> output.log",5388
Buster Keaton,"twurl ""/1.1/users/search.json?count=1&q=Buster Keaton"" | jq '.[] | .followers_count'$'\n' >> output.log",5236
Gene Kelly,"twurl ""/1.1/users/search.json?count=1&q=Gene Kelly"" | jq '.[] | .followers_count'$'\n' >> output.log",2318
Fred Astaire,"twurl ""/1.1/users/search.json?count=1&q=Fred Astaire"" | jq '.[] | .followers_count'$'\n' >> output.log",1736
Bradley Cooper,"twurl ""/1.1/users/search.json?count=1&q=Bradley Cooper"" | jq '.[] | .followers_count'$'\n' >> output.log",1349
Jude Law,"twurl ""/1.1/users/search.json?count=1&q=Jude Law"" | jq '.[] | .followers_count'$'\n' >> output.log",25786
Robert Pattinson,"twurl ""/1.1/users/search.json?count=1&q=Robert Pattinson"" | jq '.[] | .followers_count'$'\n' >> output.log",111627
Paul Giamatti,"twurl ""/1.1/users/search.json?count=1&q=Paul Giamatti"" | jq '.[] | .followers_count'$'\n' >> output.log",8926
Forest Whitaker,"twurl ""/1.1/users/search.json?count=1&q=Forest Whitaker"" | jq '.[] | .followers_count'$'\n' >> output.log",179885
Jared Leto,"twurl ""/1.1/users/search.json?count=1&q=Jared Leto"" | jq '.[] | .followers_count'$'\n' >> output.log",4768801
Jonah Hill,"twurl ""/1.1/users/search.json?count=1&q=Jonah Hill"" | jq '.[] | .followers_count'$'\n' >> output.log",4959338
Michael Fassbender,"twurl ""/1.1/users/search.json?count=1&q=Michael Fassbender"" | jq '.[] | .followers_count'$'\n' >> output.log",38221
Carol Burnett,"twurl ""/1.1/users/search.json?count=1&q=Carol Burnett"" | jq '.[] | .followers_count'$'\n' >> output.log",3824
Jessica Tandy,"twurl ""/1.1/users/search.json?count=1&q=Jessica Tandy"" | jq '.[] | .followers_count'$'\n' >> output.log",774
Helen Hunt,"twurl ""/1.1/users/search.json?count=1&q=Helen Hunt"" | jq '.[] | .followers_count'$'\n' >> output.log",273225
Patricia Arquette,"twurl ""/1.1/users/search.json?count=1&q=Patricia Arquette"" | jq '.[] | .followers_count'$'\n' >> output.log",276084
Carmen Miranda,"twurl ""/1.1/users/search.json?count=1&q=Carmen Miranda"" | jq '.[] | .followers_count'$'\n' >> output.log",3441
Kate Hudson,"twurl ""/1.1/users/search.json?count=1&q=Kate Hudson"" | jq '.[] | .followers_count'$'\n' >> output.log",4109433
Catherine Zeta-Jones,"twurl ""/1.1/users/search.json?count=1&q=Catherine Zeta-Jones"" | jq '.[] | .followers_count'$'\n' >> output.log",587
Cameron Diaz,"twurl ""/1.1/users/search.json?count=1&q=Cameron Diaz"" | jq '.[] | .followers_count'$'\n' >> output.log",702410
Debbie Reynolds,"twurl ""/1.1/users/search.json?count=1&q=Debbie Reynolds"" | jq '.[] | .followers_count'$'\n' >> output.log",81069
Rita Hayworth,"twurl ""/1.1/users/search.json?count=1&q=Rita Hayworth"" | jq '.[] | .followers_count'$'\n' >> output.log",314
Maureen O'Hara,"twurl ""/1.1/users/search.json?count=1&q=Maureen O'Hara"" | jq '.[] | .followers_count'$'\n' >> output.log",1061
Myrna Loy,"twurl ""/1.1/users/search.json?count=1&q=Myrna Loy"" | jq '.[] | .followers_count'$'\n' >> output.log",216
Lena Headey,"twurl ""/1.1/users/search.json?count=1&q=Lena Headey"" | jq '.[] | .followers_count'$'\n' >> output.log",1072473
Toni Collette,"twurl ""/1.1/users/search.json?count=1&q=Toni Collette"" | jq '.[] | .followers_count'$'\n' >> output.log",13930
Laura Linney,"twurl ""/1.1/users/search.json?count=1&q=Laura Linney"" | jq '.[] | .followers_count'$'\n' >> output.log",1661
Marlene Dietrich,"twurl ""/1.1/users/search.json?count=1&q=Marlene Dietrich"" | jq '.[] | .followers_count'$'\n' >> output.log",366
Carole Lombard,"twurl ""/1.1/users/search.json?count=1&q=Carole Lombard"" | jq '.[] | .followers_count'$'\n' >> output.log",681
Jean Arthur,"twurl ""/1.1/users/search.json?count=1&q=Jean Arthur"" | jq '.[] | .followers_count'$'\n' >> output.log",3667
Jean Harlow,"twurl ""/1.1/users/search.json?count=1&q=Jean Harlow"" | jq '.[] | .followers_count'$'\n' >> output.log",395
Ginger Rogers,"twurl ""/1.1/users/search.json?count=1&q=Ginger Rogers"" | jq '.[] | .followers_count'$'\n' >> output.log",9357
Mary Pickford,"twurl ""/1.1/users/search.json?count=1&q=Mary Pickford"" | jq '.[] | .followers_count'$'\n' >> output.log",1294
Mae West,"twurl ""/1.1/users/search.json?count=1&q=Mae West"" | jq '.[] | .followers_count'$'\n' >> output.log",14612
Gillian Anderson,"twurl ""/1.1/users/search.json?count=1&q=Gillian Anderson"" | jq '.[] | .followers_count'$'\n' >> output.log",635726
Emma Watson,"twurl ""/1.1/users/search.json?count=1&q=Emma Watson"" | jq '.[] | .followers_count'$'\n' >> output.log",29113945
Meg Ryan,"twurl ""/1.1/users/search.json?count=1&q=Meg Ryan"" | jq '.[] | .followers_count'$'\n' >> output.log",25799
Alan Arkin,"twurl ""/1.1/users/search.json?count=1&q=Alan Arkin"" | jq '.[] | .followers_count'$'\n' >> output.log",315
Benedict Cumberbatch,"twurl ""/1.1/users/search.json?count=1&q=Benedict Cumberbatch"" | jq '.[] | .followers_count'$'\n' >> output.log",308819
Chris Hemsworth,"twurl ""/1.1/users/search.json?count=1&q=Chris Hemsworth"" | jq '.[] | .followers_count'$'\n' >> output.log",3297809
Henry Cavill,"twurl ""/1.1/users/search.json?count=1&q=Henry Cavill"" | jq '.[] | .followers_count'$'\n' >> output.log",53999
Tom Hardy,"twurl ""/1.1/users/search.json?count=1&q=Tom Hardy"" | jq '.[] | .followers_count'$'\n' >> output.log",14919
Jean Dujardin,"twurl ""/1.1/users/search.json?count=1&q=Jean Dujardin"" | jq '.[] | .followers_count'$'\n' >> output.log",303186
Colin Firth,"twurl ""/1.1/users/search.json?count=1&q=Colin Firth"" | jq '.[] | .followers_count'$'\n' >> output.log",9966
Jamie Foxx,"twurl ""/1.1/users/search.json?count=1&q=Jamie Foxx"" | jq '.[] | .followers_count'$'\n' >> output.log",4848578
Adrien Brody,"twurl ""/1.1/users/search.json?count=1&q=Adrien Brody"" | jq '.[] | .followers_count'$'\n' >> output.log",1225388
Roberto Benigni,"twurl ""/1.1/users/search.json?count=1&q=Roberto Benigni"" | jq '.[] | .followers_count'$'\n' >> output.log",46397
Jeremy Irons,"twurl ""/1.1/users/search.json?count=1&q=Jeremy Irons"" | jq '.[] | .followers_count'$'\n' >> output.log",1763
William Hurt,"twurl ""/1.1/users/search.json?count=1&q=William Hurt"" | jq '.[] | .followers_count'$'\n' >> output.log",781
F. Murray Abraham,"twurl ""/1.1/users/search.json?count=1&q=F. Murray Abraham"" | jq '.[] | .followers_count'$'\n' >> output.log",285
Richard Dreyfuss,"twurl ""/1.1/users/search.json?count=1&q=Richard Dreyfuss"" | jq '.[] | .followers_count'$'\n' >> output.log",124468
Peter Finch,"twurl ""/1.1/users/search.json?count=1&q=Peter Finch"" | jq '.[] | .followers_count'$'\n' >> output.log",29010
Art Carney,"twurl ""/1.1/users/search.json?count=1&q=Art Carney"" | jq '.[] | .followers_count'$'\n' >> output.log",1755
Cliff Robertson,"twurl ""/1.1/users/search.json?count=1&q=Cliff Robertson"" | jq '.[] | .followers_count'$'\n' >> output.log",1069
Rod Steiger,"twurl ""/1.1/users/search.json?count=1&q=Rod Steiger"" | jq '.[] | .followers_count'$'\n' >> output.log",135
Chris Pratt,"twurl ""/1.1/users/search.json?count=1&q=Chris Pratt"" | jq '.[] | .followers_count'$'\n' >> output.log",5476822
Lee Marvin,"twurl ""/1.1/users/search.json?count=1&q=Lee Marvin"" | jq '.[] | .followers_count'$'\n' >> output.log",102584
Rex Harrison,"twurl ""/1.1/users/search.json?count=1&q=Rex Harrison"" | jq '.[] | .followers_count'$'\n' >> output.log",315
Maximilian Schell,"twurl ""/1.1/users/search.json?count=1&q=Maximilian Schell"" | jq '.[] | .followers_count'$'\n' >> output.log",250
David Niven,"twurl ""/1.1/users/search.json?count=1&q=David Niven"" | jq '.[] | .followers_count'$'\n' >> output.log",1709
Yul Brynner,"twurl ""/1.1/users/search.json?count=1&q=Yul Brynner"" | jq '.[] | .followers_count'$'\n' >> output.log",581
Ernest Borgnine,"twurl ""/1.1/users/search.json?count=1&q=Ernest Borgnine"" | jq '.[] | .followers_count'$'\n' >> output.log",2321
Chlo‘ Grace Moretz,"twurl ""/1.1/users/search.json?count=1&q=Chlo‘ Grace Moretz"" | jq '.[] | .followers_count'$'\n' >> output.log",3271861
Anna Kendrick,"twurl ""/1.1/users/search.json?count=1&q=Anna Kendrick"" | jq '.[] | .followers_count'$'\n' >> output.log",7158916
Emily Watson,"twurl ""/1.1/users/search.json?count=1&q=Emily Watson"" | jq '.[] | .followers_count'$'\n' >> output.log",467
Helena Bonham Carter,"twurl ""/1.1/users/search.json?count=1&q=Helena Bonham Carter"" | jq '.[] | .followers_count'$'\n' >> output.log",6989
Keira Knightley,"twurl ""/1.1/users/search.json?count=1&q=Keira Knightley"" | jq '.[] | .followers_count'$'\n' >> output.log",2510
Alexis Thorpe,"twurl ""/1.1/users/search.json?count=1&q=Alexis Thorpe"" | jq '.[] | .followers_count'$'\n' >> output.log",815
Marion Davies,"twurl ""/1.1/users/search.json?count=1&q=Marion Davies"" | jq '.[] | .followers_count'$'\n' >> output.log",5500
Scarlett Johansson,"twurl ""/1.1/users/search.json?count=1&q=Scarlett Johansson"" | jq '.[] | .followers_count'$'\n' >> output.log",91439
Dakota Fanning,"twurl ""/1.1/users/search.json?count=1&q=Dakota Fanning"" | jq '.[] | .followers_count'$'\n' >> output.log",1894
Jennifer Aniston,"twurl ""/1.1/users/search.json?count=1&q=Jennifer Aniston"" | jq '.[] | .followers_count'$'\n' >> output.log",22758
Jennifer Connelly,"twurl ""/1.1/users/search.json?count=1&q=Jennifer Connelly"" | jq '.[] | .followers_count'$'\n' >> output.log",1990
Rachel McAdams,"twurl ""/1.1/users/search.json?count=1&q=Rachel McAdams"" | jq '.[] | .followers_count'$'\n' >> output.log",55985
Carey Mulligan,"twurl ""/1.1/users/search.json?count=1&q=Carey Mulligan"" | jq '.[] | .followers_count'$'\n' >> output.log",6799
Mila Kunis,"twurl ""/1.1/users/search.json?count=1&q=Mila Kunis"" | jq '.[] | .followers_count'$'\n' >> output.log",14827
Amanda Seyfried,"twurl ""/1.1/users/search.json?count=1&q=Amanda Seyfried"" | jq '.[] | .followers_count'$'\n' >> output.log",539880
Jennifer Lopez,"twurl ""/1.1/users/search.json?count=1&q=Jennifer Lopez"" | jq '.[] | .followers_count'$'\n' >> output.log",45437288
Neve Campbell,"twurl ""/1.1/users/search.json?count=1&q=Neve Campbell"" | jq '.[] | .followers_count'$'\n' >> output.log",837
Fairuza Balk,"twurl ""/1.1/users/search.json?count=1&q=Fairuza Balk"" | jq '.[] | .followers_count'$'\n' >> output.log",39008
Jessica Alba,"twurl ""/1.1/users/search.json?count=1&q=Jessica Alba"" | jq '.[] | .followers_count'$'\n' >> output.log",9664802
Kristen Stewart,"twurl ""/1.1/users/search.json?count=1&q=Kristen Stewart"" | jq '.[] | .followers_count'$'\n' >> output.log",481703
Julie Walters,"twurl ""/1.1/users/search.json?count=1&q=Julie Walters"" | jq '.[] | .followers_count'$'\n' >> output.log",9121
Rooney Mara,"twurl ""/1.1/users/search.json?count=1&q=Rooney Mara"" | jq '.[] | .followers_count'$'\n' >> output.log",24962
Jamie Lee Curtis,"twurl ""/1.1/users/search.json?count=1&q=Jamie Lee Curtis"" | jq '.[] | .followers_count'$'\n' >> output.log",398552
Emma Stone,"twurl ""/1.1/users/search.json?count=1&q=Emma Stone"" | jq '.[] | .followers_count'$'\n' >> output.log",61182
Kirsten Dunst,"twurl ""/1.1/users/search.json?count=1&q=Kirsten Dunst"" | jq '.[] | .followers_count'$'\n' >> output.log",493528
JosŽ Ferrer,"twurl ""/1.1/users/search.json?count=1&q=JosŽ Ferrer"" | jq '.[] | .followers_count'$'\n' >> output.log",56877
Broderick Crawford,"twurl ""/1.1/users/search.json?count=1&q=Broderick Crawford"" | jq '.[] | .followers_count'$'\n' >> output.log",715
Ronald Colman,"twurl ""/1.1/users/search.json?count=1&q=Ronald Colman"" | jq '.[] | .followers_count'$'\n' >> output.log",34
Fredric March,"twurl ""/1.1/users/search.json?count=1&q=Fredric March"" | jq '.[] | .followers_count'$'\n' >> output.log",3160
Ray Milland,"twurl ""/1.1/users/search.json?count=1&q=Ray Milland"" | jq '.[] | .followers_count'$'\n' >> output.log",39
Bing Crosby,"twurl ""/1.1/users/search.json?count=1&q=Bing Crosby"" | jq '.[] | .followers_count'$'\n' >> output.log",5135
Paul Lukas,"twurl ""/1.1/users/search.json?count=1&q=Paul Lukas"" | jq '.[] | .followers_count'$'\n' >> output.log",122116
Robert Donat,"twurl ""/1.1/users/search.json?count=1&q=Robert Donat"" | jq '.[] | .followers_count'$'\n' >> output.log",516
Paul Muni,"twurl ""/1.1/users/search.json?count=1&q=Paul Muni"" | jq '.[] | .followers_count'$'\n' >> output.log",0
Victor McLaglen,"twurl ""/1.1/users/search.json?count=1&q=Victor McLaglen"" | jq '.[] | .followers_count'$'\n' >> output.log",0
Charles Laughton,"twurl ""/1.1/users/search.json?count=1&q=Charles Laughton"" | jq '.[] | .followers_count'$'\n' >> output.log",467
Wallace Beery,"twurl ""/1.1/users/search.json?count=1&q=Wallace Beery"" | jq '.[] | .followers_count'$'\n' >> output.log",672
Kurt Russell,"twurl ""/1.1/users/search.json?count=1&q=Kurt Russell"" | jq '.[] | .followers_count'$'\n' >> output.log",14977
Lionel Barrymore,"twurl ""/1.1/users/search.json?count=1&q=Lionel Barrymore"" | jq '.[] | .followers_count'$'\n' >> output.log",54
Jeff Goldblum,"twurl ""/1.1/users/search.json?count=1&q=Jeff Goldblum"" | jq '.[] | .followers_count'$'\n' >> output.log",16619
Warner Baxter,"twurl ""/1.1/users/search.json?count=1&q=Warner Baxter"" | jq '.[] | .followers_count'$'\n' >> output.log",1
Emil Jannings,"twurl ""/1.1/users/search.json?count=1&q=Emil Jannings"" | jq '.[] | .followers_count'$'\n' >> output.log",1
Chris Cooper,"twurl ""/1.1/users/search.json?count=1&q=Chris Cooper"" | jq '.[] | .followers_count'$'\n' >> output.log",680
Jim Broadbent,"twurl ""/1.1/users/search.json?count=1&q=Jim Broadbent"" | jq '.[] | .followers_count'$'\n' >> output.log",1047
James Coburn,"twurl ""/1.1/users/search.json?count=1&q=James Coburn"" | jq '.[] | .followers_count'$'\n' >> output.log",174
Cuba Gooding Jr.,"twurl ""/1.1/users/search.json?count=1&q=Cuba Gooding Jr."" | jq '.[] | .followers_count'$'\n' >> output.log",26779
Martin Landau,"twurl ""/1.1/users/search.json?count=1&q=Martin Landau"" | jq '.[] | .followers_count'$'\n' >> output.log",1298
Jack Palance,"twurl ""/1.1/users/search.json?count=1&q=Jack Palance"" | jq '.[] | .followers_count'$'\n' >> output.log",39
Kevin Kline,"twurl ""/1.1/users/search.json?count=1&q=Kevin Kline"" | jq '.[] | .followers_count'$'\n' >> output.log",10327
Don Ameche,"twurl ""/1.1/users/search.json?count=1&q=Don Ameche"" | jq '.[] | .followers_count'$'\n' >> output.log",0
Kate Beckinsale,"twurl ""/1.1/users/search.json?count=1&q=Kate Beckinsale"" | jq '.[] | .followers_count'$'\n' >> output.log",194575
Zooey Deschanel,"twurl ""/1.1/users/search.json?count=1&q=Zooey Deschanel"" | jq '.[] | .followers_count'$'\n' >> output.log",6673303
Michelle Williams,"twurl ""/1.1/users/search.json?count=1&q=Michelle Williams"" | jq '.[] | .followers_count'$'\n' >> output.log",838699
Milla Jovovich,"twurl ""/1.1/users/search.json?count=1&q=Milla Jovovich"" | jq '.[] | .followers_count'$'\n' >> output.log",1508721
Selena Gomez,"twurl ""/1.1/users/search.json?count=1&q=Selena Gomez"" | jq '.[] | .followers_count'$'\n' >> output.log",56630755
Rachel Weisz,"twurl ""/1.1/users/search.json?count=1&q=Rachel Weisz"" | jq '.[] | .followers_count'$'\n' >> output.log",6319
Kristen Bell,"twurl ""/1.1/users/search.json?count=1&q=Kristen Bell"" | jq '.[] | .followers_count'$'\n' >> output.log",2369006
Katherine Heigl,"twurl ""/1.1/users/search.json?count=1&q=Katherine Heigl"" | jq '.[] | .followers_count'$'\n' >> output.log",1326718
Liv Tyler,"twurl ""/1.1/users/search.json?count=1&q=Liv Tyler"" | jq '.[] | .followers_count'$'\n' >> output.log",241709
Jessica Chastain,"twurl ""/1.1/users/search.json?count=1&q=Jessica Chastain"" | jq '.[] | .followers_count'$'\n' >> output.log",735599
Megan Fox,"twurl ""/1.1/users/search.json?count=1&q=Megan Fox"" | jq '.[] | .followers_count'$'\n' >> output.log",1349634
Betty White,"twurl ""/1.1/users/search.json?count=1&q=Betty White"" | jq '.[] | .followers_count'$'\n' >> output.log",1436310
Geraldine Page,"twurl ""/1.1/users/search.json?count=1&q=Geraldine Page"" | jq '.[] | .followers_count'$'\n' >> output.log",741470
Eliza Dushku,"twurl ""/1.1/users/search.json?count=1&q=Eliza Dushku"" | jq '.[] | .followers_count'$'\n' >> output.log",1849076
Robin Wright,"twurl ""/1.1/users/search.json?count=1&q=Robin Wright"" | jq '.[] | .followers_count'$'\n' >> output.log",149032
Leighton Meester,"twurl ""/1.1/users/search.json?count=1&q=Leighton Meester"" | jq '.[] | .followers_count'$'\n' >> output.log",1936284
Viola Davis,"twurl ""/1.1/users/search.json?count=1&q=Viola Davis"" | jq '.[] | .followers_count'$'\n' >> output.log",1140932
Shirley Temple,"twurl ""/1.1/users/search.json?count=1&q=Shirley Temple"" | jq '.[] | .followers_count'$'\n' >> output.log",8015
Julia Louis-Dreyfus,"twurl ""/1.1/users/search.json?count=1&q=Julia Louis-Dreyfus"" | jq '.[] | .followers_count'$'\n' >> output.log",977995
Olivia Thirlby,"twurl ""/1.1/users/search.json?count=1&q=Olivia Thirlby"" | jq '.[] | .followers_count'$'\n' >> output.log",14938
Cher,"twurl ""/1.1/users/search.json?count=1&q=Cher"" | jq '.[] | .followers_count'$'\n' >> output.log",3591765
PenŽlope Cruz,"twurl ""/1.1/users/search.json?count=1&q=PenŽlope Cruz"" | jq '.[] | .followers_count'$'\n' >> output.log",1023
Louise Fletcher,"twurl ""/1.1/users/search.json?count=1&q=Louise Fletcher"" | jq '.[] | .followers_count'$'\n' >> output.log",4724
Julie Christie,"twurl ""/1.1/users/search.json?count=1&q=Julie Christie"" | jq '.[] | .followers_count'$'\n' >> output.log",1034
Patricia Neal,"twurl ""/1.1/users/search.json?count=1&q=Patricia Neal"" | jq '.[] | .followers_count'$'\n' >> output.log",448
Haing S. Ngor,"twurl ""/1.1/users/search.json?count=1&q=Haing S. Ngor"" | jq '.[] | .followers_count'$'\n' >> output.log",7807
Louis Gossett Jr.,"twurl ""/1.1/users/search.json?count=1&q=Louis Gossett Jr."" | jq '.[] | .followers_count'$'\n' >> output.log",409
John Gielgud,"twurl ""/1.1/users/search.json?count=1&q=John Gielgud"" | jq '.[] | .followers_count'$'\n' >> output.log",85732
Timothy Hutton,"twurl ""/1.1/users/search.json?count=1&q=Timothy Hutton"" | jq '.[] | .followers_count'$'\n' >> output.log",69
Melvyn Douglas,"twurl ""/1.1/users/search.json?count=1&q=Melvyn Douglas"" | jq '.[] | .followers_count'$'\n' >> output.log",32
Jason Robards,"twurl ""/1.1/users/search.json?count=1&q=Jason Robards"" | jq '.[] | .followers_count'$'\n' >> output.log",9389
George Burns,"twurl ""/1.1/users/search.json?count=1&q=George Burns"" | jq '.[] | .followers_count'$'\n' >> output.log",8645
John Houseman,"twurl ""/1.1/users/search.json?count=1&q=John Houseman"" | jq '.[] | .followers_count'$'\n' >> output.log",149
Ethan Hawke,"twurl ""/1.1/users/search.json?count=1&q=Ethan Hawke"" | jq '.[] | .followers_count'$'\n' >> output.log",9427
Ben Johnson,"twurl ""/1.1/users/search.json?count=1&q=Ben Johnson"" | jq '.[] | .followers_count'$'\n' >> output.log",163207
John Mills,"twurl ""/1.1/users/search.json?count=1&q=John Mills"" | jq '.[] | .followers_count'$'\n' >> output.log",3011
Gig Young,"twurl ""/1.1/users/search.json?count=1&q=Gig Young"" | jq '.[] | .followers_count'$'\n' >> output.log",276
Jack Albertson,"twurl ""/1.1/users/search.json?count=1&q=Jack Albertson"" | jq '.[] | .followers_count'$'\n' >> output.log",6954
George Kennedy,"twurl ""/1.1/users/search.json?count=1&q=George Kennedy"" | jq '.[] | .followers_count'$'\n' >> output.log",2814
Walter Matthau,"twurl ""/1.1/users/search.json?count=1&q=Walter Matthau"" | jq '.[] | .followers_count'$'\n' >> output.log",142
Martin Balsam,"twurl ""/1.1/users/search.json?count=1&q=Martin Balsam"" | jq '.[] | .followers_count'$'\n' >> output.log",9609
Peter Ustinov,"twurl ""/1.1/users/search.json?count=1&q=Peter Ustinov"" | jq '.[] | .followers_count'$'\n' >> output.log",40147
Ed Begley,"twurl ""/1.1/users/search.json?count=1&q=Ed Begley"" | jq '.[] | .followers_count'$'\n' >> output.log",10104
George Chakiris,"twurl ""/1.1/users/search.json?count=1&q=George Chakiris"" | jq '.[] | .followers_count'$'\n' >> output.log",1509
Hugh Griffith,"twurl ""/1.1/users/search.json?count=1&q=Hugh Griffith"" | jq '.[] | .followers_count'$'\n' >> output.log",24
Burl Ives,"twurl ""/1.1/users/search.json?count=1&q=Burl Ives"" | jq '.[] | .followers_count'$'\n' >> output.log",172
Red Buttons,"twurl ""/1.1/users/search.json?count=1&q=Red Buttons"" | jq '.[] | .followers_count'$'\n' >> output.log",544
Anthony Quinn,"twurl ""/1.1/users/search.json?count=1&q=Anthony Quinn"" | jq '.[] | .followers_count'$'\n' >> output.log",38224
Edmond O'Brien,"twurl ""/1.1/users/search.json?count=1&q=Edmond O'Brien"" | jq '.[] | .followers_count'$'\n' >> output.log",194
Frank Sinatra,"twurl ""/1.1/users/search.json?count=1&q=Frank Sinatra"" | jq '.[] | .followers_count'$'\n' >> output.log",35908
Anne Bancroft,"twurl ""/1.1/users/search.json?count=1&q=Anne Bancroft"" | jq '.[] | .followers_count'$'\n' >> output.log",503
Kim Novak,"twurl ""/1.1/users/search.json?count=1&q=Kim Novak"" | jq '.[] | .followers_count'$'\n' >> output.log",1437574
Simone Signoret,"twurl ""/1.1/users/search.json?count=1&q=Simone Signoret"" | jq '.[] | .followers_count'$'\n' >> output.log",19144
Ellen Page,"twurl ""/1.1/users/search.json?count=1&q=Ellen Page"" | jq '.[] | .followers_count'$'\n' >> output.log",8
Angela Lansbury,"twurl ""/1.1/users/search.json?count=1&q=Angela Lansbury"" | jq '.[] | .followers_count'$'\n' >> output.log",337
Judy Holliday,"twurl ""/1.1/users/search.json?count=1&q=Judy Holliday"" | jq '.[] | .followers_count'$'\n' >> output.log",1701
Loretta Young,"twurl ""/1.1/users/search.json?count=1&q=Loretta Young"" | jq '.[] | .followers_count'$'\n' >> output.log",214532
Shirley Jones,"twurl ""/1.1/users/search.json?count=1&q=Shirley Jones"" | jq '.[] | .followers_count'$'\n' >> output.log",12719
Vera Farmiga,"twurl ""/1.1/users/search.json?count=1&q=Vera Farmiga"" | jq '.[] | .followers_count'$'\n' >> output.log",387
Helen Hayes,"twurl ""/1.1/users/search.json?count=1&q=Helen Hayes"" | jq '.[] | .followers_count'$'\n' >> output.log",21
Marie Dressler,"twurl ""/1.1/users/search.json?count=1&q=Marie Dressler"" | jq '.[] | .followers_count'$'\n' >> output.log",1304710
Janet Gaynor,"twurl ""/1.1/users/search.json?count=1&q=Janet Gaynor"" | jq '.[] | .followers_count'$'\n' >> output.log",400833
Lupita Nyong'o,"twurl ""/1.1/users/search.json?count=1&q=Lupita Nyong'o"" | jq '.[] | .followers_count'$'\n' >> output.log",5251
Octavia Spencer,"twurl ""/1.1/users/search.json?count=1&q=Octavia Spencer"" | jq '.[] | .followers_count'$'\n' >> output.log",160001
Melissa Leo,"twurl ""/1.1/users/search.json?count=1&q=Melissa Leo"" | jq '.[] | .followers_count'$'\n' >> output.log",389350
Mo'Nique,"twurl ""/1.1/users/search.json?count=1&q=Mo'Nique"" | jq '.[] | .followers_count'$'\n' >> output.log",5558
Marlee Matlin,"twurl ""/1.1/users/search.json?count=1&q=Marlee Matlin"" | jq '.[] | .followers_count'$'\n' >> output.log",4109433
Tilda Swinton,"twurl ""/1.1/users/search.json?count=1&q=Tilda Swinton"" | jq '.[] | .followers_count'$'\n' >> output.log",1093
Jennifer Hudson,"twurl ""/1.1/users/search.json?count=1&q=Jennifer Hudson"" | jq '.[] | .followers_count'$'\n' >> output.log",65512
RenŽe Zellweger,"twurl ""/1.1/users/search.json?count=1&q=RenŽe Zellweger"" | jq '.[] | .followers_count'$'\n' >> output.log",203117
Marcia Gay Harden,"twurl ""/1.1/users/search.json?count=1&q=Marcia Gay Harden"" | jq '.[] | .followers_count'$'\n' >> output.log",95075
Anna Paquin,"twurl ""/1.1/users/search.json?count=1&q=Anna Paquin"" | jq '.[] | .followers_count'$'\n' >> output.log",1771
Marisa Tomei,"twurl ""/1.1/users/search.json?count=1&q=Marisa Tomei"" | jq '.[] | .followers_count'$'\n' >> output.log",34
Mercedes Ruehl,"twurl ""/1.1/users/search.json?count=1&q=Mercedes Ruehl"" | jq '.[] | .followers_count'$'\n' >> output.log",5249
Brenda Fricker,"twurl ""/1.1/users/search.json?count=1&q=Brenda Fricker"" | jq '.[] | .followers_count'$'\n' >> output.log",1652
Jean Reno,"twurl ""/1.1/users/search.json?count=1&q=Jean Reno"" | jq '.[] | .followers_count'$'\n' >> output.log",1336
George Sanders,"twurl ""/1.1/users/search.json?count=1&q=George Sanders"" | jq '.[] | .followers_count'$'\n' >> output.log",0
Dean Jagger,"twurl ""/1.1/users/search.json?count=1&q=Dean Jagger"" | jq '.[] | .followers_count'$'\n' >> output.log",585
Walter Huston,"twurl ""/1.1/users/search.json?count=1&q=Walter Huston"" | jq '.[] | .followers_count'$'\n' >> output.log",303845
