Name,API,Most Followed Acount Followers
Shirley MacLaine,"twurl ""/1.1/users/search.json?count=1&q=Shirley MacLaine"" | jq '.[] | .followers_count'$'\n' >> output.log",43649
Reese Witherspoon,"twurl ""/1.1/users/search.json?count=1&q=Reese Witherspoon"" | jq '.[] | .followers_count'$'\n' >> output.log",2291165
Charlize Theron,"twurl ""/1.1/users/search.json?count=1&q=Charlize Theron"" | jq '.[] | .followers_count'$'\n' >> output.log",614312
Judy Garland,"twurl ""/1.1/users/search.json?count=1&q=Judy Garland"" | jq '.[] | .followers_count'$'\n' >> output.log",11486
John Wayne,"twurl ""/1.1/users/search.json?count=1&q=John Wayne"" | jq '.[] | .followers_count'$'\n' >> output.log",10271
Sidney Poitier,"twurl ""/1.1/users/search.json?count=1&q=Sidney Poitier"" | jq '.[] | .followers_count'$'\n' >> output.log",4303
Paul Newman,"twurl ""/1.1/users/search.json?count=1&q=Paul Newman"" | jq '.[] | .followers_count'$'\n' >> output.log",26433
Matt Damon,"twurl ""/1.1/users/search.json?count=1&q=Matt Damon"" | jq '.[] | .followers_count'$'\n' >> output.log",5505
Robert Duvall,"twurl ""/1.1/users/search.json?count=1&q=Robert Duvall"" | jq '.[] | .followers_count'$'\n' >> output.log",921
James Dean,"twurl ""/1.1/users/search.json?count=1&q=James Dean"" | jq '.[] | .followers_count'$'\n' >> output.log",6752
Kirk Douglas,"twurl ""/1.1/users/search.json?count=1&q=Kirk Douglas"" | jq '.[] | .followers_count'$'\n' >> output.log",13081
Henry Fonda,"twurl ""/1.1/users/search.json?count=1&q=Henry Fonda"" | jq '.[] | .followers_count'$'\n' >> output.log",31831
Robin Williams,"twurl ""/1.1/users/search.json?count=1&q=Robin Williams"" | jq '.[] | .followers_count'$'\n' >> output.log",28962
Orson Welles,"twurl ""/1.1/users/search.json?count=1&q=Orson Welles"" | jq '.[] | .followers_count'$'\n' >> output.log",2817
Christoph Waltz,"twurl ""/1.1/users/search.json?count=1&q=Christoph Waltz"" | jq '.[] | .followers_count'$'\n' >> output.log",3390
Heath Ledger,"twurl ""/1.1/users/search.json?count=1&q=Heath Ledger"" | jq '.[] | .followers_count'$'\n' >> output.log",27036
Sean Connery,"twurl ""/1.1/users/search.json?count=1&q=Sean Connery"" | jq '.[] | .followers_count'$'\n' >> output.log",5805
Kevin Spacey,"twurl ""/1.1/users/search.json?count=1&q=Kevin Spacey"" | jq '.[] | .followers_count'$'\n' >> output.log",4872825
Gene Hackman,"twurl ""/1.1/users/search.json?count=1&q=Gene Hackman"" | jq '.[] | .followers_count'$'\n' >> output.log",5609
Liam Neeson,"twurl ""/1.1/users/search.json?count=1&q=Liam Neeson"" | jq '.[] | .followers_count'$'\n' >> output.log",7436
Edward Norton,"twurl ""/1.1/users/search.json?count=1&q=Edward Norton"" | jq '.[] | .followers_count'$'\n' >> output.log",2124721
Bruce Willis,"twurl ""/1.1/users/search.json?count=1&q=Bruce Willis"" | jq '.[] | .followers_count'$'\n' >> output.log",2417873
