,date_index0,date_index1,date_index10,date_index11,date_index12,date_index13,date_index14,date_index15,date_index16,date_index17,date_index18,date_index19,date_index2,date_index20,date_index21,date_index22,date_index23,date_index24,date_index25,date_index26,date_index27,date_index28,date_index29,date_index3,date_index30,date_index31,date_index32,date_index33,date_index34,date_index35,date_index36,date_index4,date_index5,date_index6,date_index7,date_index8,date_index9,title
76,15,20,58,46,43,39,41,55,54,37,29,29,19,27,28,40,38,23,21,20,20,23,29,21,27,19,17,17,15,17,21,22,34,51,75,100,92,Maleficent
77,11,12,57,46,44,41,46,68,64,38,32,31,16,29,32,41,43,27,24,23,20,21,27,13,28,17,16,14,14,15,20,16,29,38,78,100,82,Dawn of the Planet of the Apes
78,20,25,100,88,72,49,71,60,58,67,59,44,30,38,39,39,40,57,50,40,31,34,32,36,34,48,44,31,29,25,26,35,38,54,98,98,84,47 Ronin
79,32,43,63,52,46,44,43,60,61,40,31,30,48,31,40,43,46,35,26,23,24,26,34,38,36,21,18,19,23,20,26,31,39,42,75,97,100,Captain America: The Winter Soldier
80,9,18,53,44,40,38,39,57,51,40,33,29,13,33,34,46,46,24,25,22,23,29,32,15,31,24,21,23,20,22,36,17,20,30,78,100,92,Shrek Forever After
81,18,22,75,53,41,38,44,64,62,33,30,30,24,29,36,46,41,26,31,27,26,28,35,23,34,20,21,19,18,20,26,23,28,38,73,100,95,Tomorrowland
82,9,13,60,52,39,36,44,73,72,38,31,29,13,28,32,52,48,30,26,34,33,42,54,13,45,23,20,20,18,26,37,15,18,25,57,100,93,Big Hero 6
83,11,14,98,71,46,42,55,66,63,57,41,51,15,32,37,41,42,37,33,28,25,33,39,19,34,26,25,22,20,23,42,30,31,44,77,96,100,Wreck-It Ralph
84,22,28,82,61,56,52,35,51,69,44,65,43,42,29,27,35,41,52,65,28,36,27,37,42,47,44,57,56,44,44,40,41,68,0,87,72,100,The Polar Express
85,12,17,44,47,38,32,38,41,42,38,30,26,16,20,24,37,33,22,19,17,18,18,26,18,25,15,11,12,13,12,19,30,28,51,85,100,84,Independence Day: Resurgence
86,14,19,65,50,53,51,75,79,86,67,45,43,21,41,46,60,59,37,29,30,34,37,51,16,55,33,26,25,22,30,45,20,22,30,60,88,100,How to Train Your Dragon
87,15,15,73,55,48,43,45,59,59,39,31,29,16,27,30,38,38,26,20,20,18,21,27,15,28,19,15,14,15,18,24,15,21,36,75,100,96,Guardians of the Galaxy
88,10,12,71,58,51,44,46,66,66,41,33,32,15,29,33,44,43,27,22,23,23,27,34,14,32,19,15,15,14,16,24,19,29,41,72,100,99,Interstellar
89,10,12,79,61,60,57,59,75,80,56,45,43,11,42,45,59,60,46,38,38,32,34,43,12,47,32,28,26,24,25,32,14,19,24,58,94,100,Inception
90,55,44,81,58,50,52,39,53,35,40,37,26,44,28,30,65,43,41,47,29,34,44,35,22,40,23,20,27,32,52,34,27,22,45,100,95,72,Godzilla Resurgence
91,18,18,68,47,50,40,39,49,53,41,43,44,19,39,39,43,36,35,43,36,45,43,49,19,33,21,27,18,19,20,28,22,34,40,77,100,95,The Hobbit: An Unexpected Journey
92,15,18,97,100,96,81,90,85,86,73,43,42,21,34,41,42,64,56,43,29,27,26,33,18,50,44,24,23,13,69,62,28,31,41,85,96,98,The Curious Case of Benjamin Button
93,18,19,67,47,42,36,41,51,49,34,25,21,19,22,24,30,29,20,16,15,16,18,20,19,21,13,12,12,10,12,14,21,34,47,73,100,99,X-Men: First Class
94,15,12,44,34,46,44,40,56,50,27,23,18,30,30,27,24,44,32,20,18,14,27,16,22,37,20,16,19,17,20,25,16,18,37,56,100,41,The Hunger Games: Mockingjay - Part 2
95,16,18,88,100,60,42,65,49,41,74,61,42,15,32,24,34,36,40,70,18,22,12,10,13,17,27,46,14,16,30,21,8,16,24,16,39,39,The Sorcerer's Apprentice
96,25,25,68,54,49,48,46,43,55,49,37,41,33,50,50,48,71,42,49,46,48,41,72,43,83,53,56,52,45,40,52,38,38,41,93,79,100,Poseidon
97,14,19,76,59,51,45,54,78,72,38,30,27,19,26,33,50,48,25,23,23,19,24,28,22,28,17,19,15,15,13,18,26,29,45,80,100,90,Alice Through the Looking Glass
98,20,24,51,35,33,25,32,48,50,36,24,22,26,22,17,31,32,17,15,18,17,18,30,22,30,18,17,15,18,17,30,25,28,39,64,100,89,Shrek the Third
99,41,52,56,48,43,41,44,54,57,37,33,31,50,28,28,34,36,24,24,23,21,22,26,35,29,22,20,18,16,19,25,40,42,56,82,100,91,Warcraft
100,20,25,100,92,63,53,48,45,43,57,55,33,28,31,28,28,30,40,39,27,23,22,21,34,21,28,30,19,18,16,16,39,37,46,65,79,93,Terminator Genisys
