Opening Weekend USA,budget,critic number,user review number,Cumulative Worldwide Gross,Gross USA,imdbID
5833,,82,47,,31747,tt0345549
10616,,4,4,,30792,tt0369330
29452,,16,31,,29452,tt0378867
3022,9750000,40,63,,29425,tt0353014
4580,,7,25,,25589,tt0305583
6440,,57,27,,25578,tt0350193
2244,,28,34,,23573,tt0367859
7030,,40,10,,22940,tt0346800
4740,,7,6,,22900,tt0400446
5701,,32,16,,22758,tt0319237
22278,,24,24,,22278,tt0342300
5355,,11,7,,21024,tt0399465
10351,,59,37,,20838,tt0348853
19539,1000000,36,55,,19539,tt0317640
19067,15000000,48,59,,19067,tt0326208
5298,,18,20,,18928,tt0315459
7517,,29,10,,17350,tt0285727
2149,15920000,23,9,,16802,tt0308595
13237,1000000,8,12,,16377,tt0325007
6970,,26,23,,16051,tt0363290
5281,,22,6,,15787,tt0325030
2448,EK 20000000,66,91,,15280,tt0338309
14811,,19,27,,14811,tt0379270
2310,,76,55,,14624,tt0354668
4487,2800000,152,152,,14131,tt0353969
5325,,47,55,,12978,tt0364093
3817,,20,23,,11382,tt0363029
4721,AD 1600000,38,16,,11367,tt0352332
8058,,1,13,,10550,tt0317950
2769,,52,23,,10093,tt0377569
5310,50000,10,12,,9614,tt0368411
2173,,29,32,,7674,tt0297753
82,,29,35,,7515,tt0331338
334,,31,24,,7384,tt0357283
4499,20000,22,53,,7221,tt0365960
2350,,21,6,,6355,tt0347457
,KK 86000000,54,116,443400,6140,tt0273689
3211,,34,19,,5620,tt0338977
1787,,38,14,,4994,tt0458227
3769,,8,10,,4825,tt0342916
1443,,19,9,,3804,tt0372814
658,500000,7,1,,3270,tt0372808
2598,3000000,18,10,,2598,tt0308129
2580,1650000,20,39,,2580,tt0322700
2483,,38,34,,2483,tt0342492
678,,5,2,,678,tt0332129
,6000000,96,466,,,tt0368226
,,302,240,,,tt0365376
,6000000,68,135,,,tt0331811
,800000,18,30,,,tt0339419
,,108,76,,,tt0366292
,6600000,48,73,,,tt0289944
