Opening Weekend USA,budget,critic number,user review number,Cumulative Worldwide Gross,Gross USA,imdbID
70251710,94000000,307,892,936743261,380843261,tt0266543
72629713,94000000,338,3316,1119929521,377845905,tt0167260
46630690,140000000,279,2152,654264015,305413918,tt0325980
91774413,150000000,271,2789,742128461,281492479,tt0234215
85734045,81000000,190,613,484572835,242829261,tt0315327
85558731,110000000,294,1074,407711549,214949694,tt0290334
31113501,33000000,158,421,47044933,173398518,tt0319343
44041440,200000000,281,1689,283000000,150371112,tt0181852
48475154,150000000,243,2116,427343298,139313948,tt0242653
27557647,40000000,106,288,190212113,138614544,tt0349205
46522560,130000000,95,514,273339556,138608444,tt0172156
42220847,75000000,130,480,195745823,135645823,tt0305224
31101026,33000000,120,239,164729679,132716677,tt0305669
62128420,137000000,267,1461,113107712,132177234,tt0286716
50472480,76000000,154,384,107376377,127154901,tt0322259
16064723,80000000,144,406,266728738,124728738,tt0337741
20854735,87000000,173,455,148336445,120277854,tt0329575
37062535,80000000,143,346,207725639,116934650,tt0257076
33417739,38000000,92,197,197011982,111761982,tt0338459
24271354,140000000,190,953,456758981,111110575,tt0325710
22203007,26000000,128,281,160846332,110230332,tt0322330
48113770,48000000,151,354,110670000,110003217,tt0306047
19457944,60000000,158,499,176070171,106128601,tt0317740
23774850,50000000,131,362,177371441,105813373,tt0251127
33369440,55000000,151,334,231449203,104565114,tt0328828
27623580,60000000,82,118,164433867,104297061,tt0317303
45033454,78000000,278,1052,179179718,102543520,tt0287978
38329160,109000000,111,487,133960541,101149285,tt0312528
37634221,120000000,103,560,158345677,100830111,tt0305357
14574213,79000000,199,683,173013509,95636509,tt0159365
25105990,150000000,246,696,212011111,93927920,tt0311113
22220670,45000000,131,295,124914842,90186328,tt0333780
640815,25000000,235,955,156822020,90135191,tt0327056
291940,128000000,117,163,250397798,85336277,tt0328880
36428066,30000000,278,900,114908830,82622655,tt0329101
19622714,35000000,205,493,131282949,81261177,tt0332379
28094014,9200000,241,737,26500000,80571655,tt0324216
24278410,90000000,124,180,182290266,75847266,tt0338094
17453216,24000000,126,405,87055349,75585093,tt0302886
22089322,30000000,363,2146,180949045,70099045,tt0266697
16300155,20000000,105,335,71406573,67406573,tt0311289
21895483,60000000,74,183,88929111,66934963,tt0257568
23075892,78000000,207,793,179265204,66465204,tt0311429
207377,70000000,241,833,122919055,66257002,tt0319061
21783641,95000000,165,323,156505388,65660196,tt0325703
11528498,65000000,140,271,141337989,63860942,tt0304415
19603630,50000000,166,194,88323487,60476872,tt0300471
12292952,23000000,201,491,77147031,60060328,tt0307987
6886080,40000000,226,1031,246942017,59696144,tt0314331
19288438,40000000,206,381,81896744,59694580,tt0348836
14047781,22000000,158,506,68613992,58331254,tt0316356
23424118,29000000,175,471,98185582,56359780,tt0285823
17548993,18000000,90,206,101564935,56127162,tt0305711
13462374,60000000,193,354,96269812,53790451,tt0338337
16302063,46000000,156,289,101191884,52802140,tt0292506
13303724,35000000,76,202,,52277485,tt0316465
16225263,30000000,141,722,90259536,52159536,tt0309698
21753759,22000000,228,820,95708457,51970690,tt0320691
11836705,60000000,166,368,80154140,49443628,tt0313542
11139495,100000000,160,484,121975011,48462608,tt0316396
14109797,20000000,84,63,135680000,47887943,tt0283426
14064317,26000000,78,105,10695398,47811138,tt0313911
18533765,85000000,153,260,80916492,47726342,tt0327850
16017141,26000000,178,479,90426405,46961214,tt0309593
925087,4000000,270,1876,119723856,44585453,tt0335266
17057213,70000000,93,401,42733286,43734876,tt0314353
9751425,18000000,109,318,58878723,43610723,tt0328589
17338755,17000000,68,174,11273034,42672630,tt0306841
12139832,30000000,82,299,,41407470,tt0327137
16185316,50000000,122,159,,40905277,tt0313443
11556869,25000000,46,36,13203787,39399750,tt0337711
13503484,35200000,45,83,,37788228,tt0325537
13107022,17000000,50,48,,37566230,tt0326900
11277367,20000000,72,132,,36922190,tt0263757
13087307,62000000,158,344,28659212,36906460,tt0325805
11434964,20000000,68,195,14622111,35990505,tt0286788
16813517,,50,145,13670324,35764982,tt0271668
18365222,17000000,171,320,63102666,35667218,tt0301470
12525075,60000000,166,330,120217409,35327628,tt0138524
16521486,30000000,111,186,56489558,34604054,tt0306685
86831,4500000,187,545,64240813,34469210,tt0340855
12618159,16000000,36,89,,34308901,tt0328099
13482638,55000000,134,320,10782486,34238611,tt0269347
9411055,55000000,124,157,65784503,33832741,tt0338466
15027423,68000000,180,675,75715436,33715436,tt0285531
12024917,11000000,140,371,47488536,32551396,tt0282209
12053131,60000000,150,476,74208267,31186896,tt0298814
151393,10000000,70,140,96542059,31041759,tt0337909
1100943,120000,235,926,54667954,30610863,tt0374102
11758372,15000000,37,59,,30238577,tt0191133
12856040,18000000,97,141,,30222640,tt0322589
11112632,75000000,131,254,,30013346,tt0329717
9134085,35000000,120,289,160583018,28082366,tt0274166
10833633,60000000,135,200,,27011180,tt0338188
11511960,50000000,132,296,15999250,26536120,tt0264395
6874477,60000000,97,95,80767884,26483452,tt0165982
10845064,19000000,86,267,39267515,26276465,tt0329028
11019224,36000000,109,138,44350926,26183197,tt0266465
6097758,,46,25,62870546,23103423,tt0323642
8653542,52000000,131,178,13960630,23020488,tt0245803
6660540,17000000,75,118,,22734486,tt0325258
8111324,41000000,98,134,34268701,22108977,tt0288045
6315311,,36,43,,21897389,tt0337592
10106992,,62,86,,21701045,tt0326769
8190574,,105,265,,21384035,tt0331468
9317371,80000000,102,163,68514844,20991364,tt0318155
9222334,40000000,66,101,3905032,20440627,tt0314786
45029,35000000,143,304,14000000,20298207,tt0309530
7117225,50000000,136,424,16971092,19593740,tt0289992
8440629,80000000,126,461,24453820,19481943,tt0300556
2112140,,96,270,,17508936,tt0310281
6648374,,36,40,,17334912,tt0301181
274454,20000000,195,566,,16248701,tt0315733
7009513,30000000,86,150,,15589458,tt0264150
5161498,12600000,193,550,8922208,15417771,tt0295700
8006232,20000000,78,92,,15408822,tt0295289
6111074,30000000,73,105,,14208384,tt0318283
5809960,16000000,45,96,,14108518,tt0319524
45572,15000000,159,478,,13005485,tt0315983
4675246,56000000,76,500,,12870569,tt0279111
3460666,7000000,212,935,4194583,12634962,tt0251736
4563588,15000000,116,144,23014206,41000000,tt0310910
89472,,159,302,,11634362,tt0335119
5683280,7000000,137,601,,10249719,tt0317676
286950,,165,292,10372390,10105505,tt0324133
4617128,40000000,78,151,9630000,9692135,tt0266489
516834,,88,159,,9074550,tt0306734
128973,3200000,136,217,,8243880,tt0318374
4438899,38000000,110,207,,7659747,tt0304711
2804441,,54,46,,7375836,tt0311110
143762,9500000,171,311,,7002255,tt0286244
4010593,22000000,116,215,8546666,6886089,tt0310357
629999,,23,10,,6751389,tt0318850
734570,AD 5000000,26,65,,6239558,tt0330602
2404557,,31,41,6531140,6126237,tt0323572
3753518,54000000,131,421,,6068735,tt0299930
159705,,186,224,,6003587,tt0305206
908446,21000000,72,105,23684104,5791328,tt0309820
57785,500000,159,291,,5739376,tt0340377
1034195,30000000,122,219,24863804,5381227,tt0308383
2511403,,32,101,,5111630,tt0338077
2715848,12000000,61,309,,4922166,tt0339034
97625,12000000,120,355,23726793,4750602,tt0199626
116260,1500000,127,547,,4599680,tt0328538
1334869,,233,371,,4560061,tt0368909
2076402,35000000,53,156,,4426297,tt0294357
98363,AD 17000000,25,76,,4068087,tt0377992
57968,4800000,156,230,79384880,4064200,tt0301357
1897705,2200000,259,548,,3681066,tt0338095
79650,AD 6000000,136,166,6289563,3432342,tt0338135
1673125,18000000,102,157,,3203044,tt0313792
65696,,54,55,,2823837,tt0329388
142632,,196,257,14082883,2531462,tt0309987
48422,300000,130,180,743364,2528664,tt0311648
42561,,124,163,,2380788,tt0374546
27480,20000000,69,53,,2353728,tt0310778
93776,15000000,116,125,,2281585,tt0335013
77540,6000000,132,194,724744,2220008,tt0323944
99162,,158,169,,1971135,tt0379217
758211,,56,120,,1787378,tt0347304
872950,20000000,13,66,,1646664,tt0266747
54294,,66,160,,1628154,tt0342167
48292,,89,89,,1615118,tt0326977
611276,17000000,106,117,9439660,1571504,tt0312549
88855,KK 83000000,223,617,8604712,1530386,tt0276919
61481,1900000,61,123,,1420578,tt0322659
129056,780000,33,157,,1310470,tt0373283
50865,,41,74,,1310368,tt0332285
58940,7000000,85,99,,1302242,tt0325055
93356,3000000,208,696,10020543,1227000,tt0363589
51970,8000000,58,68,5403151,1174139,tt0300015
51969,46000,104,78,,1127331,tt0368913
79560,1500000,69,53,,1062253,tt0323298
91798,5000000,92,154,2466444,1060512,tt0335563
33287,10000000,74,85,,1011054,tt0285861
46926,,63,65,,931755,tt0325123
39936,5000000,75,97,4856298,896993,tt0332658
61104,,186,191,,853718,tt0363226
25504,,54,30,,826220,tt0344604
33956,850000,35,254,,819939,tt0345551
446768,,44,17,,800371,tt0337930
50278,4000000,108,116,,767240,tt0289635
37220,23000000,55,53,,763044,tt0340376
173246,4000000,75,111,,732241,tt0308878
45024,,51,27,,732036,tt0298131
161190,5000000,39,158,,728253,tt0320244
68957,3000000,316,859,14272524,707481,tt0364569
37743,AD 3500000,105,94,,669128,tt0366996
15119,5740000,66,125,,647054,tt0304229
17722,,56,60,,594115,tt0388395
46791,2500000,87,125,,548712,tt0299458
21546,,73,105,8007867,548707,tt0364517
36061,,55,49,,541682,tt0352343
30783,,50,97,,533344,tt0319829
403164,,19,18,,527000,tt0376717
33815,1800000,43,28,,505295,tt0378906
19795,,111,175,,502028,tt0376968
7164,,48,39,,489338,tt0366532
19531,,55,27,,482357,tt0329111
36456,,64,29,,475940,tt0303830
40515,2000000,71,133,,395592,tt0314412
50601,10000000,107,229,,365734,tt0330099
60432,,74,46,,365727,tt0367790
13415,,63,109,,358804,tt0319531
48103,,76,42,,349315,tt0323872
13763,,58,29,,344974,tt0336264
48384,,65,105,,343816,tt0301976
28324,8000000,68,81,,336456,tt0314676
41254,2500000,53,57,,332015,tt0374345
29002,,25,35,,329723,tt0288330
9581,,41,56,,306224,tt0326835
19116,,23,19,,293268,tt0366287
160346,,23,82,,284002,tt0327919
47693,1000000,27,48,,279282,tt0357470
70773,3300000,16,19,,267495,tt0314170
7490,,65,93,,254224,tt0346336
10163,,18,20,,251862,tt0379307
24456,,15,11,,238487,tt0376007
10098,UF 100000000,125,136,1277800,237183,tt0373981
19684,5000000,36,21,,223878,tt0323807
17945,RL 12000000,64,44,,213954,tt0293007
30599,7500000,41,66,,209151,tt0304328
20170,7500000,134,150,,197148,tt0345061
13480,,7,9,,192000,tt0326976
12419,,61,35,,181798,tt0322289
,,8,4,,164520,tt0284426
10304,,28,61,,159279,tt0337960
17427,,65,36,,147844,tt0371280
14361,,13,31,,147235,tt0339071
20856,8000000,15,27,,140872,tt0337631
11806,,27,24,,131029,tt0301777
37127,,77,55,,128985,tt0388473
67529,,4,8,,112746,tt0292527
22920,,8,11,,108043,tt0391892
56000,,5,13,,93370,tt0361625
10740,,38,25,,88560,tt0334725
6321,2400000,51,21,,87385,tt0339806
18484,10000000,40,33,6106178,82382,tt0374330
43704,,28,136,6089857,74864,tt0277941
3629,,57,30,,72762,tt0366943
16774,,5,3,,67862,tt0365411
7875,,24,12,,63768,tt0305178
6015,,43,19,,63332,tt0380689
7560,,102,71,,61439,tt0324197
4808,1100000,62,52,,60135,tt0351461
6345,,15,11,,59440,tt0353818
6835,,28,39,,58040,tt0307351
9303,,38,17,,57781,tt0379577
12870,,100,103,,54523,tt0315110
5030,,98,84,,54419,tt0361668
11845,,8,5,,53169,tt0369295
48832,,5,28,,48832,tt0306228
3063,,16,7,,48493,tt0349079
24520,,30,35,,47171,tt0326664
6040,3000000,10,4,,43124,tt0339638
28107,,7,4,,42108,tt0361498
14146,500000,22,10,,41929,tt0361322
9851,UD 1000000,128,210,,41196,tt0339840
6050,,1,6,,40289,tt0349238
4541,,51,25,,38150,tt0363249
35082,,20,18,,35518,tt0314039
5322,,66,28,,34720,tt0377556
5558,,26,12,,34398,tt0335351
5864,2000000,23,25,,33700,tt0377701
5550,,40,21,,33272,tt0351299
10696,6800000,25,67,,33225,tt0323939
