user review number,budget,imdbID,Opening Weekend USA,critic number,Cumulative Worldwide Gross,Gross USA
76,10000000,tt1656192,10759,65,,10759
24,7000000,tt1298554,10395,52,,10395
27,,tt1376233,2070,20,,10373
59,,tt1440161,10011,77,,10011
138,94000000,tt1410063,48558,137,95000000,9213
8,1009653,tt1726888,880,93,,9017
2,,tt1697887,3085,8,,8543
16,11000000,tt1605769,8418,73,,8418
108,2000000,tt1680114,1273,170,,8012
3,,tt1886502,2263,52,,7665
24,,tt1450330,2661,37,,7556
10,,tt2043879,3874,24,,7489
6,,tt1748224,3850,37,,7466
6,,tt1978447,7379,39,,7379
8,7000000,tt1794943,6800,21,,6800
5,7000000,tt0459748,6724,30,,6724
10,,tt1677082,6717,37,,6717
7,,tt1746242,3087,22,,6711
25,9700000,tt1726861,6310,40,,6310
