Opening Weekend USA,Gross USA,user review number,budget,Cumulative Worldwide Gross,imdbID,critic number
6218335,13399812,149,60000000,35150546,tt0375173,136
400001,13337299,227,20000000,,tt0352277,119
6819393,12831121,299,30000000,,tt0324554,99
292177,12784713,383,22000000,,tt0356721,184
6081483,12189514,130,23000000,,tt0360139,64
6160886,12181484,179,40000000,,tt0326856,77
5088577,11827301,26,,,tt0349169,38
4441356,11663156,116,45000000,3130468,tt0252028,83
6219794,11540112,20,,,tt0380277,20
397472,11050094,424,NY 100000000,92863945,tt0385004,251
4022693,10411980,215,15000000,,tt0361696,47
4873819,10387706,95,40000000,,tt0314498,66
169038,10214647,206,11000000,,tt0362269,191
4171226,9436390,75,10000000,10148953,tt0368975,52
3251856,9109322,133,20000000,,tt0270846,34
4002067,9055010,106,30000000,,tt0361620,53
459386,8940582,328,5000000,10156933,tt0332375,121
3446375,8725813,139,27000000,2650407,tt0324127,104
3254940,8054280,115,20000000,,tt0345074,66
101126,7739049,113,18000000,,tt0340012,92
2325474,6879730,23,,,tt0399901,17
2766810,6768055,229,57000000,,tt0167456,75
149224,6759422,115,,,tt0377084,54
385848,6601079,288,7000000,,tt0361411,122
70224,6583149,156,,,tt0366777,160
139066,6517198,177,3000000,,tt0390221,156
3602245,6491350,27,10000000,,tt0350194,33
3336374,6471394,96,50000000,,tt0315824,76
45264,6318709,251,23000000,8010814,tt0363473,107
101749,6167817,240,47000000,70115868,tt0344510,188
3038546,5884190,49,39000000,6614280,tt0312329,75
311194,5792822,499,2700000,,tt0381681,229
618674,5763875,146,,,tt0331952,108
3089993,5644575,38,3000000,,tt0354766,57
24220,5509040,582,13500000,92180910,tt0363163,203
147370,5211842,164,5000000,40273930,tt0275491,178
1705577,5005883,363,20000000,23925492,tt0337876,172
3035688,4992159,197,8600000,,tt0331953,67
2202799,4835065,263,,10852064,tt0375920,112
427987,4711096,342,24000000,235184110,tt0347149,225
1911358,4480744,226,27000000,23658061,tt0297284,126
2011435,4434432,244,19250000,,tt0360009,113
613000,4175179,96,1500000,,tt0377744,22
456876,3835551,134,,,tt0348593,144
74238,3825351,176,,,tt0378947,153
1512000,3817362,18,,,tt0315273,20
69868,3765585,166,18000000,32000000,tt0379889,115
13207,3753806,168,11000000,,tt0383694,170
23239,3635164,114,5500000,83580170,tt0372824,115
843010,2921738,124,7000000,,tt0420332,30
657785,2831130,8,70000,,tt0398872,8
60465,2712736,68,,,tt0352994,66
1233297,2694071,63,,,tt0375104,24
81706,2338695,280,4000000,,tt0375912,152
55836,2106677,48,,,tt0363532,70
55681,2086345,141,10000000,38535221,tt0369702,155
101295,2037545,76,3000000,,tt0361309,85
69587,1736499,49,,,tt0374583,55
106425,1487477,312,4200000,31933365,tt0403358,231
64423,1397999,45,,,tt0426155,34
37542,1340891,180,,,tt0377752,95
29384,1339668,101,15000000,,tt0365125,84
411544,1197786,159,12000000,,tt0414852,148
99079,1186323,87,,,tt0384504,53
363439,1111061,230,12800000,76287982,tt0386064,83
64661,1082715,477,5000000,8203235,tt0361862,205
317722,1043896,103,PY 2000000000,,tt0347246,131
64728,1029872,134,6500000,1548955,tt0359423,48
337484,1017376,79,5000000,,tt0376890,48
90022,992238,104,1700000,,tt0382189,124
192000,837000,91,,,tt0387914,40
140881,795126,55,AD 6000000,,tt0384488,46
38654,776691,106,,,tt0368658,97
37547,697759,206,,,tt0364961,148
17425,697181,249,,,tt0370986,144
32393,683575,100,,,tt0408664,131
2644,671122,126,,,tt0389828,55
29170,603951,158,500000,,tt0377091,119
79883,564535,49,,,tt0374277,32
57251,553368,114,,,tt0362004,112
226296,548039,138,,,tt0364343,70
31702,539380,19,,,tt0399738,44
164801,463730,38,,,tt0357054,42
25900,442612,34,6000000,,tt0273108,42
28162,424760,401,7000,,tt0390384,124
136148,410388,82,PY 2127519898,,tt0348121,108
46133,398278,67,,3510605,tt0338097,44
40064,1398000,2,2400000,,tt0297012,2
28451,396035,48,1000000,,tt0381717,67
8161,384982,46,,,tt0386342,86
7235,375574,27,,,tt0423310,42
36371,371081,89,6000000,,tt0372334,45
55016,365134,67,8000000,,tt0384533,76
34610,358262,92,,,tt0375735,87
20393,319228,27,,,tt0365938,44
28327,304124,38,1400000,,tt0300270,78
201567,302990,3,,,tt0382561,4
43263,299261,29,,,tt0382621,39
24180,289592,19,,,tt0344273,63
9590,282998,26,,,tt0376177,53
211000,280100,41,NR 100000000,,tt0382383,14
113074,261481,211,12000000,,tt0212712,191
29107,256822,104,,,tt0424227,99
9695,252341,11,,,tt0381270,25
3688,247636,9,,,tt0407342,30
25144,244105,11,ZK 36000000,,tt0401488,42
20084,238507,127,1000000,,tt0423866,175
4696,228524,56,4000000,,tt0373024,73
97060,223144,82,,,tt0379306,94
11982,214605,21,,,tt0416991,79
,200433,11,800000,,tt0356453,24
1971,195378,66,12000000,,tt0367188,36
17879,193571,43,,,tt0384810,50
21813,192186,66,150000,,tt0368089,44
18564,189763,21,,,tt0366137,57
53666,188248,37,,,tt0343663,73
45047,187786,48,,,tt0356159,62
10075,175493,100,,,tt0408777,108
18710,175408,47,,,tt0380609,64
113620,174318,23,16000000,,tt0339727,17
22383,163536,35,12000000,,tt0349260,51
29103,159429,75,,,tt0396271,47
28243,159171,120,,,tt0369672,84
17510,155212,84,50000,,tt0372884,15
8336,149651,20,HF 500000,,tt0419766,19
24658,146694,37,,,tt0407246,68
8036,144065,56,,,tt0384369,62
16915,142157,28,NY 10000000,,tt0386651,67
8210,139922,23,,,tt0360845,57
38355,136823,52,,,tt0386504,51
14953,136007,40,4500,,tt0388838,83
79818,129135,63,,,tt0401233,63
15667,127692,62,,,tt0354356,100
75719,126132,21,XN 25000000,,tt0380538,9
12599,121166,21,,,tt0424237,37
19717,120620,67,,,tt0388139,53
12346,111336,11,,,tt0371683,35
9046,111143,19,,,tt0405866,64
357000,101944,44,,,tt0286218,5
101107,101107,71,5000000,,tt0355954,48
56448,96793,139,3500000,,tt0367631,51
8002,96263,36,,,tt0359045,41
4158,95016,56,2700000,,tt0420206,41
21566,92214,64,,,tt0381429,70
2130,86553,14,,,tt0416331,42
12814,80701,47,,,tt0362506,14
36414,75829,79,,,tt0420251,125
5675,72888,16,,,tt0411702,27
12605,72234,31,185000,,tt0398963,26
41788,70527,70,6500000,,tt0349416,26
10334,70395,48,,,tt0381392,69
1165,67988,18,,,tt0395173,22
34440,64748,29,,,tt0362129,20
6776,63662,29,,,tt0423176,62
1710,62387,52,,,tt0377088,20
3806,61408,24,,,tt0297389,18
,60815,12,,,tt0402595,16
6722,54020,8,450000,,tt0347368,24
,52266,10,1500000,,tt0406216,22
,49940,15,,,tt0389235,25
13457,49835,220,1000000,,tt0411705,134
3202,49251,36,,,tt0365190,66
22750,49193,8,1800000,,tt0338022,15
5377,45463,19,,,tt0367097,11
12665,42880,52,24000000,,tt0356443,15
4640,40603,20,,,tt0422491,48
53985,40601,224,,,tt0361127,152
4466,38147,32,,,tt0442286,58
13313,36830,61,1400000,,tt0374639,55
5609,36613,21,,,tt0452039,39
1839,35555,4,,,tt0330080,15
25000,34000,51,,,tt0400234,13
6151,30303,71,850000,,tt0420291,99
10000,29058,88,,176153,tt0368774,88
5022,28894,16,,,tt0388311,32
7425,28194,21,,,tt0375911,25
4129,28089,34,,,tt0382019,26
11690,27301,7,,,tt0390185,12
2183,25880,13,,,tt0387892,45
25660,25660,23,,,tt0347369,26
24354,24947,67,,,tt0360130,73
6015,24514,27,,,tt0366721,38
9753,23111,12,,,tt0410549,19
6079,21864,90,,,tt0417791,47
6317,21567,24,,,tt0380773,31
7634,20787,9,,,tt0402141,23
7352,19723,28,,,tt0363579,26
9018,16066,43,5000000,,tt0305632,13
4268,15355,15,,,tt0364120,27
5163,14923,19,,,tt0390080,11
4892,14804,5,,,tt0406214,8
