user review number,Opening Weekend USA,Gross USA,imdbID,budget,Cumulative Worldwide Gross,critic number
173,2840246,5775178,tt0491175,25000000,,260
56,1353297,5676486,tt6225520,,,104
93,1424540,4219536,tt4572792,10000000,,110
74,1611899,4211129,tt3881784,,,152
46,,4077333,tt5655222,,,76
84,1597928,3606977,tt1412528,5000000,,113
52,1816499,3599570,tt6574272,2800000,,63
94,135301,3024308,tt5962210,,,147
23,113708,3009621,tt3741632,,,83
47,1224430,2830775,tt5649108,,,96
60,219022,2721100,tt7131870,29700000,870325439,31
82,968506,2676077,tt4411596,,,130
68,,2425664,tt0491203,25000000,,86
22,330052,2418404,tt6336356,,,51
230,170575,2395410,tt2763304,18000000,33351909,371
404,115120,2291901,tt5715874,,,338
35,66286,2194521,tt5770620,,,63
194,132829,2155077,tt5742374,,,219
86,89921,2133158,tt5884230,,2400000,118
40,64241,2011699,tt5639354,,,188
109,125101,2009484,tt4846232,,,259
10,924201,1910685,tt5537228,2000000,6402104,11
11,,1891956,tt6654316,,,16
104,898013,1803009,tt4218696,,,80
36,31630,1782667,tt5023260,,,66
55,57917,1735251,tt1653665,,,121
16,62078,1703036,tt6333086,,,61
49,,1647175,tt5666304,,,93
321,104030,1596371,tt6265828,100000,,280
74,736883,1584759,tt6133130,,,115
18,331854,1527829,tt6878038,,833339,35
89,74233,1502347,tt4995790,,,232
96,,1403237,tt5825380,25000000,,191
31,35545,1355664,tt2291540,,,89
115,655493,1322839,tt3203620,,,113
30,60132,1263439,tt4538916,5400000,15400000,52
121,400843,1244798,tt2674454,10000000,,123
45,39692,1235432,tt4827986,,,104
30,40875,1157604,tt6193424,,,61
53,,1105717,tt4977530,,,99
45,65882,1033632,tt5208216,,,164
32,,1026124,tt5711148,,,127
49,26820,1017107,tt5990474,,,72
20,,1001305,tt7048622,3000000,,83
112,376207,992181,tt1724970,,,66
67,40558,965481,tt6018306,,,155
41,43293,955925,tt5859238,,,149
13,52555,940854,tt5737862,,,63
15,46975,932195,tt5340300,,,84
17,469259,870451,tt5273624,63300000,216284400,18
37,67599,800148,tt6288250,,,122
37,34217,768946,tt5175450,,,70
57,,748934,tt5814592,,,162
10,237393,668610,tt6108178,,,31
48,336227,652997,tt1781058,,,101
17,14412,639990,tt5815492,1467000,,39
31,54458,624332,tt0460890,,345048,57
10,21341,603582,tt5348236,7000000,402918,76
16,31629,590166,tt6896536,,,91
20,22724,580346,tt4513316,,,52
47,30222,564073,tt6304162,,,208
8,42244,558245,tt6217608,,,62
42,219357,557004,tt3182620,20000000,,40
45,39652,532669,tt5805752,,,128
47,22285,490131,tt5716464,,4149789,126
47,,472368,tt6303866,,,72
79,53945,443684,tt2062700,,,160
22,25472,417880,tt4494718,,,101
18,13524,378296,tt5226984,5000000,,77
21,,378294,tt4986134,,,45
50,111979,357263,tt4217392,65000000,,62
9,14569,343992,tt6343058,,,38
74,17768,335609,tt5635086,,,113
9,48919,327628,tt2582784,,,40
31,,321011,tt5723272,,,154
28,,312381,tt3901826,,,65
17,,301718,tt5304464,13600000,,149
16,,285000,tt3962984,,,4
11,,279263,tt3234084,,,12
5,163289,258614,tt5843850,,,19
14,27044,250130,tt6057032,,,30
9,14420,241159,tt5091612,21400000,,43
9,,238558,tt3268340,,,39
18,29013,237535,tt5816374,,,53
41,,217457,tt5727282,EK 65000000,,125
14,68614,216556,tt5866930,,40000000,23
6,15157,211347,tt5247704,7870000,10215337,52
9,32980,200340,tt5795086,,,49
22,15495,183943,tt5222918,1600000,,149
20,20668,180608,tt4978710,,,65
13,9083,173359,tt3986820,,,74
16,,167581,tt6367558,,,109
16,11798,156164,tt3780500,,,52
1,12445,155075,tt4967220,,,12
41,49569,150532,tt5084170,,,131
45,10841,147391,tt6304046,OK 47500000,,157
6,68507,143317,tt3863632,,,10
5,26123,139649,tt3409848,,,62
18,8566,125189,tt6135348,,,150
3,57837,124187,tt6814080,,,10
14,26097,123689,tt1699518,9500000,,64
1,14404,122410,tt2293060,400000,,5
9,39699,121141,tt6423776,,,83
10,11290,107630,tt5457078,,,11
33,5462,100240,tt5420886,,,39
4,19158,98331,tt5687040,,,64
3,50619,96552,tt7075594,,,20
56,11972,86025,tt5516328,,,123
4,32713,84147,tt3946960,,,14
13,8183,81089,tt5540188,4250000,,67
10,10463,79393,tt6451304,,,64
2,8276,77976,tt3740066,,,26
18,,77045,tt6958212,,,76
5,,76277,tt5818818,,,59
2,,74720,tt5584796,,,35
1,11489,69241,tt5989220,,,33
6,14136,67835,tt7260048,,,22
1,2286,65420,tt5881892,,,5
24,12125,61899,tt3859272,,,89
2,,59717,tt5198670,,,35
31,31005,59329,tt4351548,,,31
9,11722,52692,tt6247936,,,66
12,23912,52659,tt6083388,25000000,,18
5,10994,51413,tt5687334,11110000,,82
4,11852,48499,tt5247026,,,49
6,10865,48198,tt5731132,,,29
4,8370,45190,tt5999530,,,44
6,12247,42603,tt4677924,5000000,,43
2,,40099,tt5658242,,,11
3,,39985,tt2707810,,,19
5,11719,37801,tt5687814,,,42
2,,37516,tt0835802,,,14
5,,36129,tt5157326,1800000,,65
2,,35967,tt6412864,,,59
1,8101,34482,tt6777170,,,31
34,17135,34117,tt4457344,,,132
35,19590,33109,tt5112578,,,69
4,,30988,tt6802896,,,42
7,,30678,tt6333070,,,57
96,9818,30611,tt3322892,,,93
2,4874,29814,tt5609734,,,25
19,5957,29258,tt5973364,,,27
60,,28660,tt3335606,,397788,118
38,,27741,tt6777338,,,121
1,3489,23884,tt4673790,,,25
2,2860,20590,tt6444838,,,31
6,4875,20261,tt3463106,,,57
14,6886,19225,tt5752360,,,17
4,,19084,tt6164502,1450000,,36
14,,18216,tt5089534,,,18
,,16182,tt5765144,1300000,,19
45,3780,14410,tt5836316,,,15
4,,12965,tt3204632,,,26
19,5722,12847,tt5933560,,,11
21,10796,12772,tt4801232,,,10
4,1713,12433,tt5980798,,,54
1,5995,12257,tt5096846,,,11
1,11700,11700,tt4432006,,,25
2,2442,11567,tt6144536,,,39
22,,10456,tt2582498,,,57
27,,9868,tt4652650,,,23
37,5559,7856,tt4400994,,,24
5,7479,7479,tt6213362,,,21
64,,5728,tt1785635,5000000,,51
1,3055,4891,tt6776572,,,29
7,796,4651,tt1507571,,,12
4,810,2739,tt3278224,,,19
15,2583,2583,tt6598626,,,16
7,2513,2513,tt2586120,8000000,,43
