Gross USA,user review number,Cumulative Worldwide Gross,imdbID,Opening Weekend USA,budget,critic number
6420319,124,,tt1810683,2750356,20000000,52
5775076,129,34140474,tt1976009,2469341,40000000,178
5348317,111,,tt1772288,73200,10000000,144
4715819,107,,tt2273657,1930000,,169
4700361,38,,tt4337690,2035273,5000000,15
4693356,118,,tt3077214,76244,14000000,238
4265673,41,,tt4501454,57022,3200000,93
4250507,134,,tt3544082,65775,,279
4027764,127,,tt3715320,175312,11000000,274
3866794,107,12158142,tt0787524,80325,10000000,119
3759286,185,5659286,tt2401878,135222,8000000,369
3635292,115,,tt1727776,1841007,15000000,152
3610933,38,,tt3233418,808022,,21
3590010,68,,tt3787590,1767308,2000000,161
3358518,58,3371692,tt4080728,54608,,139
3351230,45,,tt3471098,63308,,177
3219029,216,,tt4062536,87984,5000000,405
2993669,85,,tt3416744,123238,,184
2982281,52,,tt3164256,1470592,15000000,104
2698509,151,,tt3312830,78085,12300000,316
2679437,55,156844753,tt2888046,784839,36000000,79
2647377,72,,tt4594834,1198356,,164
2610719,61,,tt0790770,114530,,142
2557668,29,,tt3268668,1393243,2000000,43
2541554,107,,tt3859076,66232,9600000,186
2461121,56,,tt2872462,234275,,207
2246000,29,,tt3719896,1365000,20000000,30
2184640,97,,tt3614530,1375320,5000000,64
2021399,121,1715078,tt2910904,185165,UD 17000000,137
1982505,72,,tt2056771,114419,,240
1978592,126,,tt1172049,1098290,10000000,219
1904682,16,96119086,tt3501416,146526,,35
1872994,211,42642077,tt3569230,86836,30000000,273
1828933,42,1607334,tt3147312,514282,3000000,112
1777043,119,6659121,tt3808342,37930,UF 280000000,324
1712111,63,,tt1524575,832271,8000000,98
1646468,46,,tt1490785,45471,13000000,92
1512815,81,,tt2140037,803000,25000000,150
1477002,82,,tt3172532,52334,2000000,174
1415450,14,139191345,tt4701702,286847,,15
1339152,95,97571250,tt1754656,28140,81200000,149
1329249,54,3411541,tt4285496,50955,1400000,201
1243810,12,259361762,tt4276752,279974,37000000,23
1206135,219,12951093,tt1014763,621812,50000000,182
1162653,42,,tt2245003,552503,,105
1149878,43,,tt3864024,108586,2480421,43
1142315,11,,tt1517471,45373,,72
1115516,24,,tt2749282,475224,,32
1108247,179,12601706,tt2884018,69833,15000000,304
1100000,42,,tt3844362,53022,,113
986472,8,,tt1322393,27717,,6
845464,66,4915624,tt3966404,22151,1300000,247
830129,32,2003337,tt2133196,46184,6500000,98
814775,64,3224947,tt3165612,89102,,119
701837,80,,tt3824458,74934,100000,194
643557,67,,tt0420293,37514,,86
637555,87,,tt3704050,20489,AD 13000000,142
615654,53,,tt3859304,386328,3500000,67
613556,104,,tt3508840,47892,15000000,225
569381,22,,tt1135989,37170,4000000,61
558402,147,,tt2101383,60551,,253
532988,32,,tt1658801,37983,7000000,143
531009,97,,tt3707106,96250,10000000,135
496161,15,,tt4428788,21723,,118
490515,68,,tt3576728,309951,30000000,31
461263,37,,tt3756788,25118,,141
446142,34,,tt4272866,274247,,159
435266,55,3164333,tt3841424,13754,KK 35500000,145
375723,37,,tt3742378,24086,RL 4000000,119
350000,21,,tt1564368,,2500000,20
343139,150,,tt0462335,79887,,320
321642,25,,tt4359416,166,,203
302762,11,,tt3451720,20000,,107
301664,18,,tt3013610,34098,7000000,165
