budget,Cumulative Worldwide Gross,critic number,user review number,imdbID,Gross USA,Opening Weekend USA
50000000,135039943,222,501,tt0396171,2223293,55527
RW 12215500000,89431890,369,292,tt0468492,2201923,314488
8000000,,74,25,tt0444112,2044614,37677
2000000,3108568,87,209,tt0367027,1985292,107907
,22889018,174,227,tt0460989,1829142,76190
400000,,67,49,tt0451176,1689999,95400
7000000,2581387,119,107,tt0432402,1661464,195698
11700000,,89,53,tt0482088,1499127,116308
,,86,38,tt0778784,1422461,45246
32000000,5914908,183,177,tt0452624,1308696,76817
3000000,,92,153,tt0475937,1255524,782000
13000000,2636637,94,106,tt0419749,1173673,608804
13000000,,128,107,tt0420609,1150403,452966
,,42,36,tt0434541,1107148,644
10000000,7226020,100,34,tt0465188,1063647,37947
,,80,126,tt0461703,1018965,753520
2400000,,24,90,tt0486028,1008849,700000
,,151,168,tt0460792,1004059,410804
50000000,,104,102,tt0455957,1000045,159671
,,109,92,tt0443456,928960,21160
,,152,109,tt0851578,881302,45429
RL 3000000,,55,28,tt0857355,763066,80655
,3503737,249,364,tt0460829,751138,27508
,,76,73,tt0384814,742614,68779
,,89,45,tt0459880,687414,32814
500000,,58,72,tt0443431,654132,33316
40000000,,66,186,tt0457495,652526,215177
1592000,,15,19,tt0433398,638951,87442
10000000,,18,66,tt0398842,617236,25297
ZK 84450000,,97,27,tt0284363,617228,68460
OK 22000000,,88,35,tt0827517,548811,49060
2000000,657256,109,123,tt0853096,519086,281778
,,109,90,tt0473488,516139,94784
2000000,,31,45,tt0456481,510000,210000
,,34,37,tt0487195,488393,174571
21000000,,114,182,tt0398913,480314,260713
2800000,,21,55,tt0453453,475000,275606
4200000,,158,124,tt0409904,450686,46730
,,122,464,tt0387808,438653,177559
1200000,,13,30,tt0429068,432253,226712
,,24,34,tt0489682,422897,150355
5000000,,49,55,tt0422861,418689,61043
18000000,778011,132,128,tt0479537,418296,155560
,8866905,131,103,tt0457655,412544,47311
UD 15000000,,73,116,tt0382765,399879,28298
11000000,,77,92,tt0424908,352786,70460
1500000,,171,198,tt0480025,327919,18430
14500000,,95,65,tt0444182,317594,25521
1000000,,114,94,tt0477139,316996,42808
1500000,,15,19,tt0465440,312642,32764
14000000,,74,45,tt0464913,302752,31418
10000,,26,29,tt0758738,300633,8289
8000000,,142,99,tt0457572,298110,10203
UD 2200000,,44,38,tt0466399,277991,14076
17000000,374743,180,240,tt0405336,275380,123428
,,59,34,tt0473709,265198,34531
300000,,90,60,tt0468526,255352,3310
,,10,41,tt0477392,252539,133784
,,63,73,tt0446687,238774,22603
,,70,32,tt0492619,233637,36391
24000000,,18,12,tt0443448,233520,31165
,,76,31,tt0443455,227064,36669
,,72,51,tt0427089,226990,20560
,,36,14,tt0493450,,
16800000,2281089,102,99,tt0422295,220914,28815
3500000,,29,24,tt0480251,220234,36938
500000,,28,39,tt0433350,220151,27835
,,68,69,tt0477095,210128,37141
,,93,51,tt0487503,206647,18844
2000000,622806,80,79,tt0423169,199176,34774
1500000,,31,28,tt0391229,194568,12317
18000000,2517423,72,80,tt0441774,188565,80423
HF 3000000,,55,38,tt0478829,186492,5722
2500,,121,49,tt0499537,179948,18003
3000000,,33,16,tt0419815,176300,32407
,,12,3,tt0431124,171255,20818
,,37,22,tt0792966,166485,9004
,,59,66,tt0425326,161593,
1500000,,22,25,tt0476643,157121,38882
1500000,,234,241,tt0422401,155873,
,866550,123,64,tt0471030,153432,17009
3700000,,61,83,tt0450340,144397,3746
,,12,12,tt0494640,140200,2808
5000000,,201,197,tt0464196,136432,8316
,,89,32,tt0472268,136074,78337
12800000,,82,21,tt0498120,134240,14391
3000000,,20,32,tt0455958,128585,
,,79,49,tt0444628,126242,61817
,,28,31,tt0432290,123301,11069
,,76,33,tt0498097,119958,9665
6000000,,35,29,tt0457308,119452,50160
2000000,,71,20,tt0814666,112351,12842
,,35,16,tt0492481,89417,13380
200000,,67,39,tt0809407,88066,11586
,,51,31,tt0949564,87329,2619
5000000,,49,22,tt0412637,85976,19030
2500000,,4,10,tt0760160,84744,25868
,,186,149,tt0779982,82987,16102
900000,,29,9,tt0462579,82701,14261
,,72,60,tt0499603,81416,35929
,,69,20,tt0463486,78917,10061
