Cumulative Worldwide Gross,user review number,imdbID,Opening Weekend USA,budget,critic number,Gross USA
,115,tt1160368,5329240,22000000,112,12232937
,129,tt1232783,5059802,16000000,167,11956207
27409889,101,tt0962736,160069,35000000,191,11001272
,112,tt1225822,5513634,8000000,190,10814185
,22,tt0795438,5314278,8000000,41,10572742
,327,tt1188729,4424126,33000000,221,10330853
,185,tt1300851,546687,8000000,88,10269307
104395170,301,tt1132620,335502,13000000,326,10095170
,20,tt1097013,4111043,3000000,46,10017041
,115,tt1176740,130411,17000000,218,9451946
57497699,544,tt1098327,4756488,30000000,131,9353573
,348,tt1019452,251337,7000000,307,9190525
,99,tt1194263,88182,7500000,160,9176553
,264,tt1315981,217332,7000000,294,9166863
68570336,137,tt1216487,904998,4000000,234,9081782
,120,tt0780511,3852068,21000000,159,8855646
12764201,185,tt0891592,4721110,18000000,102,8742261
,77,tt0865559,3223161,17000000,110,8662318
,17,tt1135500,,1500000,36,8500000
,214,tt1131729,2904380,50000000,193,7994115
,207,tt0844479,3576296,6000000,151,7706394
,218,tt1054606,334183,40000000,287,7689607
,71,tt1127896,3457760,30000000,203,7443007
,105,tt1174730,32001,6000000,146,6670712
,83,tt0824758,94093,13000000,183,6616974
80000000,416,tt1187043,1645502,NR 550000000,52,6532908
,55,tt1142433,2651996,15000000,95,6373693
,68,tt1035736,177399,19430000,163,6109075
35097815,176,tt1178663,266162,15000000,190,5306447
,42,tt0976222,2231273,20000000,77,5205343
,105,tt1343097,915000,4000000,209,5188972
30991660,87,tt0913425,107111,18000000,229,5014305
,528,tt1182345,136046,5000000,431,5009677
10906568,119,tt1226236,121504,3600000,183,5005465
,53,tt1071812,199657,,86,4806750
,72,tt1151922,2409156,6000000,73,4542775
,112,tt0810784,189703,8500000,223,4444637
,60,tt1294213,94936,15000000,115,4360548
,56,tt1270286,1513955,1000000,20,3773863
,175,tt1352824,900688,11000000,227,3074838
,43,tt1179258,405701,23000000,153,2708188
,87,tt1127715,81446,,157,2534351
,36,tt1185431,58692,,67,2475970
,146,tt1226774,191866,612650,188,2384044
,72,tt1185836,68377,,120,2277396
,203,tt1149362,59848,12000000,291,2222647
,162,tt1235166,163773,12000000,260,2084637
,164,tt1045772,112520,13000000,247,2035566
,14,tt1034324,963221,7000000,33,1864952
,232,tt1289406,173353,7300000,223,1818681
,36,tt1023441,44454,,92,1724882
,215,tt1095217,245398,20000000,279,1697956
,49,tt0896529,66245,,91,1602045
,23,tt1379222,30246,2800000,150,1510893
,89,tt1285309,509689,5000000,139,1474508
,82,tt1266029,52749,,205,1445366
,74,tt1220628,366909,,51,1425993
,37,tt1331064,219494,,94,1269361
,70,tt1149361,51914,27000000,213,1260917
,67,tt1121977,43040,4825000,159,1110286
3878993,33,tt0473102,207329,12500000,40,1089445
,18,tt1200272,49046,3000000,35,1040000
,58,tt1328634,467694,,16,981866
,81,tt1091229,629921,,42,921738
,61,tt1127877,63302,,161,903148
,15,tt1185344,186980,9000000,25,883887
,90,tt1043451,602850,,17,879913
,36,tt0926380,49342,,104,809752
24493605,34,tt1251757,325641,22000000,60,723714
,101,tt1103982,204112,1700000,171,695417
960828,69,tt0489049,171533,3900000,129,688529
,78,tt0485601,39826,6500000,124,686383
,19,tt1124388,51197,1100000,17,661209
,54,tt1320082,21742,,111,657194
,23,tt1190858,61176,,70,622164
,33,tt1077262,35792,,99,621240
38422082,180,tt1186830,44313,70000000,182,617840
,30,tt1156173,18096,9000000,119,615278
,28,tt1187044,17036,430000,99,549530
,59,tt1235796,27497,12000000,125,548934
,91,tt1216496,35858,5000000,211,547292
,20,tt1285246,26337,3900000,70,530369
2852915,43,tt0964185,30504,5000000,124,518522
,68,tt1124039,500154,,35,500154
,26,tt1082009,28092,5000000,60,478572
,77,tt0924129,77370,19000000,110,454149
,80,tt1226271,32065,10000000,145,449558
,12,tt0995850,11406,,46,431881
,112,tt1135092,55820,,160,425025
,45,tt1334537,28737,,135,406943
,31,tt1156143,39162,,127,403649
,22,tt1153053,90639,,16,400654
,456,tt0870984,71397,11000000,382,397070
,116,tt1232776,32619,,247,373060
,57,tt1483831,17145,,172,367798
,42,tt0886539,216918,,17,355492
,80,tt0974014,53073,10000000,118,340611
,212,tt1191111,43651,13000000,218,336467
,24,tt1135952,34613,,125,302819
,94,tt0762073,55889,5000000,248,296441
,20,tt1114680,7330,,54,280343
,37,tt0808526,30507,,159,278821
,29,tt1244668,20916,4000000,114,274385
,89,tt0806027,110029,30000000,117,256681
,57,tt1186370,122948,,64,249590
,15,tt0843358,14718,,54,246574
,52,tt1228953,24266,,83,234422
,17,tt1132193,18002,,49,230600
,87,tt1190536,131862,2900000,171,228477
,32,tt1121786,77326,,22,225341
,22,tt0960066,224409,5000000,55,224409
,136,tt1262981,4675,,126,221210
,6,tt1269696,52554,,24,210625
,16,tt1183672,19154,,67,207323
,51,tt1532957,199228,NR 150000000,12,199228
,3,tt0815182,9332,2000000,18,194316
,21,tt1428556,35033,,99,190666
,44,tt1247692,16443,5100000,64,189332
252207,443,tt1467304,12424,1500000,303,181467
,14,tt1498887,14404,,67,175995
,34,tt1315962,12697,7600000,84,174694
,100,tt1379177,40258,800000,207,166980
,37,tt1433540,2850,,114,165349
1061292,10,tt1356928,10414,,112,144022
,32,tt1346961,13207,,88,132390
,63,tt1124052,5610,12000000,147,119922
,53,tt1226232,33616,6000000,62,115862
,58,tt1161418,11502,,101,113155
384147,200,tt1379182,6686,,217,110248
,32,tt1148165,23527,UD 6500000,32,110029
3606395,144,tt0838247,59946,4500000,140,108229
,58,tt1360860,15000,,137,106662
,23,tt1188983,20635,,65,105893
,38,tt1122836,43437,,63,104526
,12,tt1276105,21666,3800000,44,102645
386078,164,tt1134854,54605,4000000,276,101740
,21,tt1204773,10810,,80,101343
,216,tt1172994,25195,900000,241,100659
,22,tt1247662,34712,8000000,22,100503
,24,tt1220220,50081,5000000,42,92900
,21,tt1167660,10243,,62,87353
,15,tt1426378,8843,,88,79848
,53,tt1474276,1412,,94,78182
,36,tt1237838,7840,,35,77126
,8,tt1247644,15467,15000,22,76382
,12,tt1122775,14370,600000,19,71007
,7,tt0892904,8079,,18,68410
,63,tt1151359,20987,9000000,74,68009
,22,tt1124377,5199,20000000,51,67255
,94,tt0790712,44523,6500000,217,66637
,4,tt1342403,14663,,29,64918
,529,tt0898367,1502231,25000000,360,56692
,48,tt1242545,6743,,135,55804
,26,tt1127221,18468,,23,53723
,41,tt1337051,19452,800000,132,48298
,13,tt1339268,5844,,60,46505
,18,tt1430110,5872,,40,45669
,93,tt1303828,13265,3500000,65,44462
,18,tt1054580,7657,,54,44348
,5,tt1193088,15378,12000000,29,44231
1984662,205,tt1278340,5363,800000,234,41709
,29,tt1135525,26167,,47,41588
,18,tt1355623,8370,2400000,53,39745
,43,tt1247640,11870,12000000,114,36039
,13,tt1337193,3233,,32,35556
,20,tt1258120,8102,,51,35416
,10,tt1504429,11124,,77,34422
,1,tt1212443,2343,4500000,9,32728
,74,tt1183251,17164,25000000,66,32409
,4,tt1239285,5326,,41,31005
,27,tt0790627,18510,,35,27935
18497446,150,tt1245112,8191,5600000,222,27766
,13,tt1118045,6352,300000,28,27156
,28,tt1187041,12998,,58,25589
,39,tt1133993,11636,,46,25137
,30,tt1424327,6818,,86,24708
,12,tt1294161,5910,,59,24705
,20,tt1085515,5772,,8,24573
,24,tt1318001,12562,1000000,24,22878
,9,tt1219828,13011,,35,22377
,11,tt0768239,8307,,53,22165
,9,tt1209364,5205,,13,21268
,5,tt1426362,8323,,41,20728
,46,tt1032825,6224,,65,20585
,12,tt1037163,6453,6500000,76,20205
,15,tt0808285,5955,3800000,61,19959
,16,tt1327820,2431,,40,19525
,11,tt1007018,3169,10000000,21,19348
,4,tt1147682,7579,700000,15,17977
,11,tt1034090,17810,,16,17810
,48,tt1183665,9467,,61,17595
,23,tt1105512,2715,1500000,67,17580
,285,tt0862467,7905,4000000,161,17546
,54,tt1212974,12254,,86,17365
,7,tt1254696,10515,,9,16392
,54,tt0437405,8613,,76,15388
,47,tt1314280,6528,,85,13461
,52,tt1238291,5364,,86,13217
,14,tt1144551,7323,500000,23,11276
,7,tt1213929,7005,,16,10908
,5,tt1422119,854,,27,10478
,35,tt1206488,1914,,72,10376
,50,tt0762105,5009,3000000,34,10060
,14,tt1217616,1608,,18,9645
,24,tt1489167,3088,,50,9609
,18,tt1405809,7416,2000000,109,9408
,2,tt1322282,4874,,21,8992
,23,tt1185242,2115,1500000,26,8983
,5,tt1406161,3118,4255932,26,8705
,30,tt0857275,4582,,47,8622
,35,tt1038043,4531,10000000,95,8530
,6,tt1495823,1224,,17,8179
,33,tt1139282,1391,2000000,27,7306
,9,tt1360866,2523,,62,6542
,31,tt0493451,1553,,18,6223
,67,tt1220213,6174,5000000,117,6174
,2,tt1151923,952,,21,5493
,21,tt1235142,838,UD 3500000,37,5480
,,tt0843876,5107,1200000,14,5107
,9,tt1235200,1776,,10,5096
,14,tt1151410,2803,3000000,20,5005
