Gross USA,Opening Weekend USA,critic number,user review number,imdbID,budget,Cumulative Worldwide Gross
12712093,57000,224,679,tt0402399,30000000,30536013
12594698,92312,195,235,tt0365485,10000000,17297244
12482775,4248465,155,323,tt0384680,22000000,19039770
11967000,4281388,48,148,tt0399862,10000000,
11905519,5034180,115,215,tt0427954,HB 200000000,
11294832,231077,124,145,tt0402894,,
11034436,55344,135,180,tt0413015,20000000,
11008432,5623373,114,195,tt0355702,25000000,
10281585,229685,124,271,tt0338427,,
10169202,4670120,185,373,tt0421054,50000000,20405441
10166502,3376009,85,184,tt0326905,80000000,10769311
10105281,4448491,35,51,tt0426615,,
10047674,4428209,138,221,tt0384286,1000000,15585495
9015303,46908,176,231,tt0407265,1000000,15151744
8819059,3740799,117,160,tt0400525,16000000,
,,107,153,tt0350261,,
8326035,4065014,70,77,tt0399327,33000000,
8186236,272838,85,133,tt0417976,KD 60000000,
7524766,193840,138,189,tt0377107,20000000,
7362100,279938,124,246,tt0367089,1500000,
6303762,2723682,162,265,tt0366627,29000000,20046858
5654777,3086127,32,26,tt0373416,25000000,
5178569,2834421,151,528,tt0369226,20000000,
5128124,400782,125,251,tt0412080,25000000,18297690
5023275,23859,175,201,tt0419294,15000000,
4280577,1921838,91,114,tt0380389,10000000,
4243756,180660,230,343,tt0373469,15000000,15569469
4006906,2137685,23,20,tt0388183,15000000,
3885134,30801,149,245,tt0415978,2000000,
3634407,81211,245,358,tt0387898,8000000,
3626883,2188199,119,359,tt0371257,50000000,
3337931,1968505,115,226,tt0433387,2000000,5967038
3222857,56280,90,149,tt0240200,,
3115393,102386,34,28,tt0439478,1500000,
3101301,1330520,40,39,tt0403016,16000000,
2912363,76324,152,179,tt0468565,3000000,
2804642,1018750,25,22,tt0463345,,
2678691,74739,138,188,tt0418773,1000000,3399228
2483955,191560,52,166,tt0343996,9600000,
2405420,1550000,145,474,tt0383222,20000000,1216111
2159038,164220,11,5,tt0406097,2650000,
2068323,43141,52,76,tt0369994,3500000,
2060589,83574,242,461,tt0393109,475000,
1987287,68447,122,138,tt0380599,50000000,40500000
1900725,62723,171,236,tt0421238,2000000,
1891821,1190791,114,302,tt0318081,80000000,5989640
1819454,77529,96,105,tt0434124,,
1706325,41860,42,61,tt0428038,1000000,
1705595,66806,95,176,tt0404030,7000000,
1677733,756905,10,9,tt0403537,,
1666262,67712,64,81,tt0384686,16000000,
1618957,27112,184,130,tt0444653,169000,
1530535,180271,99,64,tt0427968,9000000,
1452402,48023,94,162,tt0445620,,
1410778,143131,113,103,tt0404802,,
1325073,85327,116,93,tt0318761,4000000,
1311633,240075,92,79,tt0361693,,
1253413,60886,120,126,tt0423409,2800000,
1237615,778123,39,22,tt0376196,15500000,
1180560,120544,76,74,tt0387059,14000000,3251789
1158405,52885,56,43,tt0382073,,
1069318,676048,41,45,tt0434424,9000000,
1054361,42732,121,147,tt0424205,22000000,16589013
1023424,81277,107,79,tt0411270,5300000,
1007962,58049,236,685,tt0424136,950000,
923347,22341,71,63,tt0369053,,
896923,42810,91,34,tt0381690,,
887416,429223,74,118,tt0433116,10000000,
881745,519489,86,105,tt0428251,,
871527,37726,99,131,tt0373450,25000000,
864959,126449,114,151,tt0366780,4000000,
860002,105422,37,44,tt0361715,12000000,
828699,33279,112,121,tt0411195,,
814682,235341,31,106,tt0429177,,
808221,59212,118,81,tt0417658,1000000,
712294,59459,71,69,tt0357110,1500000,
676167,21795,131,104,tt0426578,,
671240,51907,85,154,tt0421994,7900000,
652163,374879,44,28,tt0431213,,
651234,47800,144,83,tt0456396,,
626310,159056,50,83,tt0406158,,
568695,22806,72,112,tt0398027,8000000,
552546,23290,61,28,tt0450450,,
540085,11630,89,72,tt0368222,,
537667,440228,14,34,tt0408961,750000,
529323,31405,40,35,tt0373747,RL 8000000,
478645,28387,59,71,tt0420015,500000,
454711,86556,141,267,tt0403217,,
438732,30630,106,68,tt0377800,11000000,
428432,134006,22,49,tt0392908,,
384924,36397,40,74,tt0412922,,
381186,27546,58,92,tt0414951,900000,
375474,175336,21,46,tt0354595,20000000,
374903,36272,81,55,tt0348505,,
370627,103238,49,76,tt0396857,,
369854,46684,364,56,tt0435623,450000,899497
344095,48760,78,384,tt0385002,,
343522,190865,5,9,tt0374923,,
342297,53944,44,57,tt0384929,4000000,
323331,16512,71,47,tt0409184,12500000,
309384,66429,14,46,tt0372122,,
306533,215801,7,15,tt0315431,7200000,
305688,58570,67,76,tt0381505,2500000,
302256,43281,41,38,tt0371939,,
281326,8927,76,65,tt0396688,,
271078,41638,19,44,tt0439544,3000000,
251585,36295,70,55,tt0437447,7500000,
251495,138311,93,131,tt0449086,30000000,
247141,92668,37,54,tt0409034,2500000,
233103,55304,46,51,tt0419256,7000000,
225041,19200,48,30,tt0446685,,
224512,7310,14,18,tt0294806,,
221415,29400,55,45,tt0413466,,
211667,9850,206,136,tt0451094,RW 4200000000,
204481,43930,5,12,tt0398971,,
202200,39234,125,90,tt0473753,15000000,
195888,12680,73,46,tt0367082,UF 2500000000,
192467,26029,40,72,tt0436689,15000,
186912,17303,59,34,tt0410400,,
186875,9551,37,22,tt0453047,,
181872,37437,47,42,tt0401244,,
167723,29157,61,93,tt0401815,3800000,
154077,14500,80,53,tt0385056,500000,
152810,11002,10,25,tt0424287,,
151662,14197,86,47,tt0459666,,
150071,39712,23,37,tt0402230,500000,
145450,66219,15,29,tt0407732,,
145382,70664,105,108,tt0454792,1600000,
141803,5229,56,26,tt0432325,600000,
139439,16494,20,15,tt0434304,,
139004,59409,43,15,tt0475750,,
138267,11729,7,21,tt0401591,200000,
131617,19253,83,121,tt0443496,10000000,
130578,8199,45,21,tt0456899,,
127144,48120,31,27,tt0373445,8000000,
121390,10805,106,88,tt0475169,,
117581,15377,94,50,tt0417189,,
115314,10664,18,37,tt0406038,500000,
112874,10691,41,39,tt0428649,,
104756,947,52,49,tt0382806,,
103626,9610,32,26,tt0425055,1000000,
103574,,51,23,tt0446747,,
101228,28091,50,55,tt0380817,3500000,
98830,60168,39,59,tt0341569,400000,
95687,11456,62,50,tt0417385,400000,
92362,92362,14,5,tt0436742,1500000,
85410,19968,34,25,tt0401420,,
81612,11310,74,41,tt0415932,,
79943,5880,106,76,tt0456149,500000,
78378,15117,140,84,tt0342735,14200000,469101
77231,14250,28,33,tt0374089,25000000,
76357,11588,68,27,tt0439817,,
75420,41820,117,480,tt0365686,,
73789,7540,33,40,tt0414344,,
71223,3252,23,10,tt0461804,,
70899,25306,103,54,tt0387055,1601792,
70677,37201,68,32,tt0376543,,
70071,16124,36,35,tt0428303,7000,
67334,9744,28,49,tt0421229,,
66851,4360,60,162,tt0402057,,92076
66453,7276,130,193,tt0410764,19300000,197659
60552,4321,26,26,tt0387037,,
58116,23281,25,154,tt0327643,,12000000
56103,4601,65,47,tt0420509,,
54556,54556,134,255,tt0426459,3200000,
50126,4649,24,11,tt0428965,,
49526,28548,74,128,tt0406650,6800000,
47957,3245,55,21,tt0407236,,
47111,7100,25,11,tt0436607,,
46812,7048,14,23,tt0452711,35000,
44978,10794,61,19,tt0432260,,
44785,20578,38,52,tt0371739,1000000,
40758,3303,15,42,tt0415833,500000,
39729,12762,15,13,tt0360016,1700000,
34410,10299,47,39,tt0436262,,
32381,8618,36,31,tt0441761,1234567,205382
29690,13285,29,30,tt0388213,,
28866,5147,44,23,tt0434292,,
28605,944,51,22,tt0342882,,
27105,13805,28,16,tt0443446,6000000,
25525,6048,26,12,tt0415607,,
24146,5289,21,9,tt0450470,,
24030,9700,25,28,tt0416471,,
23307,4195,10,14,tt0401808,,
23130,3093,31,8,tt0472113,,
23106,8222,99,60,tt0342272,KK 50000000,
21847,3420,26,9,tt0418484,,
21766,2028,43,45,tt0462477,,
21335,6060,12,6,tt0469686,350000,
20464,926,37,10,tt0478999,,
20149,14697,12,25,tt0363504,750000,
20023,5309,67,55,tt0430576,5000000,5612659
18134,1137,21,16,tt0484113,,
17341,5996,33,23,tt0443506,10000,
15090,10149,32,50,tt0405163,,
15052,5430,4,4,tt0379402,,
13510,2519,11,37,tt0398982,,
13334,9160,24,30,tt0452660,,
12667,12667,28,96,tt0449061,14000,
12460,7758,16,19,tt0339642,3000000,
12343,5816,11,2,tt0337584,,
12312,1010,20,8,tt0436091,,
11445,4949,27,21,tt0461613,AD 750000,
9047,5025,46,41,tt0419198,35000000,24000000
8148,6127,55,57,tt0382810,,
7346,505,31,17,tt0424789,KK 10000000,
7013,1028,12,14,tt0421090,450000,
6364,2207,31,35,tt0425600,200000,
