budget,user review number,Cumulative Worldwide Gross,Opening Weekend USA,Gross USA,critic number,imdbID
39000000,435,24096824,5716554,12807139,210,tt0465602
,61,,2770000,12589108,75,tt0796307
,56,,5674802,12550605,97,tt0770772
,102,,3501971,12406646,117,tt0765447
17500000,296,35076923,134938,11902715,276,tt0838221
16500000,51,13620075,5196380,11892415,71,tt0815244
10000000,78,,4712341,11043445,80,tt0419843
35000000,366,79915361,5041239,10977721,96,tt0372873
,164,4693543,6792318,10597734,115,tt0772193
,223,88613761,179848,10301706,210,tt0450188
20000000,215,,4800000,10232081,125,tt0446013
20000000,98,,4208455,10005534,61,tt0804452
27500000,198,27038732,4060012,9736045,132,tt0804522
20000000,313,,5337257,9525276,170,tt0804461
180000,339,,61901,9439923,238,tt0907657
4000000,170,,86488,9422422,230,tt0857191
16000000,117,16686371,3948863,9176787,190,tt0829459
45000000,167,,3745315,8791738,103,tt0484562
9000000,205,,1282973,8579684,165,tt0795368
5400000,36,,16454,8114669,50,tt0427998
20000000,28,,4244142,8104069,52,tt0462229
,59,,3420645,8074933,43,tt0800003
12000000,270,9620399,3506291,7498716,141,tt0897361
27000000,107,,3376669,7486906,120,tt0415965
3400000,320,79252330,338024,7161284,302,tt0464141
18000000,285,,73837,7083025,258,tt0292963
,19,,3957471,7070459,60,tt0770810
26000000,101,,4000000,6877133,29,tt0780595
,231,29527293,133557,6777741,236,tt0478134
,129,,151859,6610326,206,tt0775529
,145,19585967,2340743,5998971,168,tt0425413
,181,,75721,5990075,261,tt0401383
12000000,311,11293523,90418,5972884,221,tt0805564
35000000,177,25303038,2746312,5932060,90,tt0462396
,21,,3187153,5867786,30,tt0756703
20000000,22,,2283360,5809663,30,tt0841032
55000000,64,,2710445,5755286,101,tt0338216
20000000,170,26527510,135526,5701643,159,tt0416044
7000000,47,,2756661,5694308,25,tt0785077
750000,74,,3005175,5518918,81,tt0455326
4200000,120,,87514,5484715,163,tt0813547
45000000,119,31336389,1924860,4607608,115,tt0484740
15000000,153,,63918,4602512,179,tt0808357
16000000,155,4646830,2017795,4600585,224,tt0427470
60000000,373,,2984524,4535117,140,tt0460780
,37,,2541419,4500147,38,tt0772178
,58,,402000,4472823,108,tt0796368
7300000,165,,37118,4443403,246,tt0808417
,105,,173641,4432981,145,tt0841044
20000000,233,11664116,730819,4017609,235,tt0368794
1200000,15,,2032967,4002313,26,tt0859760
8000000,166,,2083398,3992339,160,tt0804516
12000000,126,,1836256,3950294,120,tt0423977
30000000,431,,147812,3904982,281,tt0443680
3500000,81,,72594,3735303,82,tt0455805
26000000,830,32017803,242964,3675753,265,tt0448134
,62,,192719,3573870,116,tt0866437
15000000,191,,2074300,3525161,103,tt0397044
,59,,1707967,3504875,87,tt0800027
16000000,89,,1561949,3287315,146,tt0469623
13000000,60,3242427,1659756,3172573,104,tt0416185
8000000,27,,1425915,3054430,30,tt0775488
,63,,67492,3053823,135,tt1032856
9000000,27,3036736,1355904,2955039,63,tt0441007
17000000,207,,1429100,2626800,145,tt0374563
4000000,75,,233709,2426851,122,tt0796375
NR 150000000,93,,843200,2087000,19,tt0499375
10000000,113,,81035,1959420,184,tt0757361
,23,,25484,1851114,48,tt0889652
4000000,106,,53789,1784769,170,tt0845046
,68,,1082362,1647083,103,tt0858486
,77,,108223,1540141,105,tt0756729
12000000,52,2843997,55851,1506998,109,tt0804505
,45,,3533300,1373400,71,tt0475355
15000000,469,,510958,1294640,255,tt0808279
20000000,86,6450887,181910,1200234,74,tt0780516
590000,175,,51712,1185783,195,tt1032846
,26,,664351,1158779,33,tt0449018
,98,,351887,1113541,69,tt0871510
20000000,58,7551009,126537,1103075,68,tt0494834
,47,,812262,1100762,16,tt0459605
,30,,47124,1094998,77,tt0940585
11000000,111,,635000,1066555,45,tt0473700
1300000,67,,71916,1060591,110,tt0825236
,24,,48159,1036061,39,tt0870195
13000000,145,,437643,971561,156,tt0795493
25000000,85,,39609,969869,94,tt0455782
2000000,338,5364858,275061,958961,279,tt0848557
2000000,41,,55198,955625,61,tt0772157
10000000,29,1051907,478910,952820,18,tt0955411
,49,,76214,902115,78,tt0758784
10000000,46,,508601,900926,53,tt0784972
,96,,542192,885574,34,tt0758053
6000000,37,14369905,425102,872643,16,tt0833553
4500000,148,7824260,27674,871577,184,tt0421082
10000000,120,,74146,866778,192,tt0765120
,21,,586283,817935,18,tt0990376
6500000,26,,33554,785037,98,tt0437526
5250000,118,,121374,766487,64,tt0811106
,62,,18593,741283,144,tt0880502
6000000,54,,58536,712391,87,tt0477078
AD 12000000,20,,102212,634379,39,tt0765451
16000000,27,,32601,634277,78,tt0796335
,27,,37135,623415,60,tt0490234
50000,123,,144836,597420,141,tt0780607
4000000,40,,333912,540183,59,tt0483756
,13,,28680,535428,70,tt0920473
,107,,29828,486021,172,tt0842929
,89,,51233,478492,127,tt0808331
3000000,36,,35222,459364,112,tt0826711
,19,,31883,459166,28,tt0847897
850000,23,,97137,442638,70,tt0814130
4600000,71,,22311,434417,115,tt0379976
,61,,41016,416417,117,tt0480269
,31,,18658,409658,90,tt0901485
,60,,14247,402820,88,tt0453548
1700000,11,,3227,401538,12,tt0818170
8000000,48,,41811,398420,40,tt0283503
2200000,29,,246483,379643,18,tt0810928
,20,,27734,378921,62,tt0432264
,66,,52823,371446,111,tt0787523
1100000,7,,197773,350801,14,tt0790657
,168,,36530,347578,219,tt0780622
,122,,46265,342835,145,tt0857265
1800000,21,,25352,340906,67,tt0807721
,30,,130579,307076,84,tt0870090
8000000,79,,20220,303439,76,tt0815178
,27,,33325,301902,86,tt0962774
,17,,22251,281468,67,tt0781435
5000000,28,,13856,267880,70,tt0829193
,68,,35814,263674,89,tt0388182
5000000,21,,9357,251004,92,tt0846040
5000000,89,,28550,244397,127,tt0481797
,26,,174425,240425,16,tt0459293
8000000,55,,46903,223537,68,tt0850253
,63,,20361,221846,103,tt0494222
12000000,98,,118086,214202,71,tt0399095
1500000,91,,16432,173066,101,tt0489235
25000,48,,13385,172177,86,tt0989000
9500000,31,,16769,165831,64,tt0475984
,37,,6316,160140,45,tt0893356
,36,,52744,153205,30,tt0422783
,80,,3464,142666,31,tt0942384
40000000,65,,10073,128978,110,tt0913968
3750000,61,,13744,128092,40,tt0415856
4000000,38,7537453,12042,125120,70,tt0488478
,24,,8475,123731,83,tt0990404
11000000,78,1783000,36269,121994,105,tt0831884
