critic number,budget,imdbID,Gross USA,Cumulative Worldwide Gross,Opening Weekend USA,user review number
33,,tt1103273,10908,,6702,18
41,,tt1340773,10822,,5601,31
12,500000,tt1305587,10087,,10087,3
78,,tt1639901,9862,,2421,20
20,,tt1590157,8856,,678,4
84,2500000,tt1588875,8109,,4968,24
22,1000000,tt1322264,7351,,7351,14
27,,tt1440379,6915,,6915,13
121,25000000,tt1213648,6911,6872403,3431,110
54,,tt1576440,6805,,2953,39
6,,tt1343110,6188,,3394,2
17,1200000,tt1079964,6051,,2674,11
18,,tt1426320,5980,,5980,17
23,200000,tt1401669,5817,,2981,1
24,3600000,tt1129396,5553,,5553,47
48,,tt1646114,5457,,2077,12
135,7500000,tt1320239,4833,4349187,947,58
78,,tt1316622,4821,,2054,51
26,10000000,tt1196340,4115,,3030,33
20,,tt1254978,3883,,959,2
59,8000000,tt1396221,3669,,2100,93
48,,tt1417067,3163,,1284,7
6,,tt1320103,2876,,2876,3
16,,tt1423593,2832,,2832,8
31,,tt1474889,2737,,4309,21
23,2000000,tt2082496,2531,,2531,8
44,120000,tt1508290,2109,,2109,8
24,,tt1522296,1125,,656,14
38,,tt1503777,404,,404,4
