user review number,budget,Opening Weekend USA,critic number,Gross USA,imdbID,Cumulative Worldwide Gross
180,9000000,4754215,201,14260193,tt1878870,
96,3000000,133513,219,14013564,tt3068194,13848959
279,9000000,278715,403,13958679,tt1619029,11692444
203,25000000,3404102,289,12785093,tt4276820,21945747
144,20000000,6109085,251,12626905,tt1712261,
138,20000000,4765838,245,12545979,tt2547584,25905264
70,5000000,5900528,74,11675178,tt4667094,21164799
164,30000000,359289,319,11103205,tt4513674,34314223
183,28000000,5324240,269,10907291,tt1374989,
86,4000000,4950859,71,10732841,tt1878841,
511,22500000,492648,435,10639114,tt4550098,28450387
138,108000000,33000,282,10377558,tt2361317,16706524
139,5000000,4137230,179,10164675,tt1082807,
14,5000000,4294232,14,9658370,tt4871980,
34,60000000,3704749,43,9404922,tt2822672,20519503
106,20000000,4698715,127,9393835,tt3960412,
31,900000,4055940,15,9093856,tt4191580,
58,15000000,304933,140,8805918,tt4341582,10367161
187,30000000,112633,265,8580410,tt1212428,17509437
54,20000000,4869278,106,8549740,tt2865120,
288,40000000,4356941,312,8106986,tt4731136,26559557
26,13000000,3342696,51,7965609,tt4731008,
110,9000000,159615,264,7696098,tt4669986,
95,20000000,3471316,213,7222964,tt1800302,7227038
351,46000000,130880,392,7079191,tt0490215,23737523
153,,,50,6901965,tt2720826,
66,10000000,3700000,101,6883951,tt2582500,6891009
174,35000000,3258327,168,6864016,tt3381008,
36,18500000,3294876,35,6462576,tt1002563,7313697
37,1500000,2868956,93,6303853,tt4258698,7000000
66,4993020,69085,358,6170998,tt3721954,
11,,2403885,13,6155650,tt1366338,
305,,93824,296,5875006,tt3553976,2997061
82,7000000,111200,211,5663855,tt4385888,5757620
62,5000000,98850,89,5617731,tt4429194,
160,,77298,236,5202582,tt4698684,3133732
258,,1637509,192,5017246,tt5311514,357986087
50,6000000,2366810,141,4847865,tt1620935,
53,5000000,2534884,70,4790573,tt3216348,6341855
73,,1861118,120,4750497,tt2112096,25733577
41,20000000,1751388,69,4711736,tt1781827,
73,,92835,94,4417983,tt4972062,
182,,2190042,38,4237741,tt4559006,28333348
269,3000000,105453,271,4208879,tt4034354,4121261
129,30000000,1138605,163,4198126,tt2980210,
87,10000000,93728,155,4072226,tt4645330,
146,8000000,504908,177,3912052,tt4520364,7315248
68,14000000,66510,157,3901302,tt3387266,13819139
34,250000,1701785,40,3847290,tt4573516,
71,10000000,2182216,37,3818664,tt1472584,6272403
40,,99211,91,3810812,tt4191702,
84,9900000,2002863,115,3759046,tt3352390,
186,43000000,30909,333,3730982,tt3416532,40919166
226,18000000,190012,324,3707794,tt2649554,
62,31100000,1589625,138,3647836,tt1974420,
81,10000000,76197,156,3595841,tt1661275,
216,13000000,59797,220,3439171,tt4540710,
79,,71078,279,3402067,tt5186714,2216318
58,,93125,128,3399841,tt4193394,
137,10000000,312355,264,3369431,tt2937696,
152,,63573,306,3233839,tt3544112,
40,60720000,985052,71,3232685,tt4701660,553810228
59,,1001354,180,3152725,tt1995390,8993222
11,3000000,1397434,8,3105269,tt3367294,7353544
254,,120226,285,3021345,tt4680182,
77,,1211210,92,2987063,tt3702652,
106,,1233519,227,2959288,tt4190530,5216625
35,26000000,,55,2470979,tt4778988,
61,15000000,1402823,51,2411580,tt2364897,
58,21500000,1512824,58,2280004,tt2126235,2531521
41,2000000,1206771,14,2277776,tt4902904,
165,,69335,317,2141423,tt5247022,1986483
249,RW 10000000000,284776,308,2129768,tt5700672,81036076
61,1500000,927161,29,2080932,tt4950110,
119,RW 10000000000,92129,306,2005473,tt4016934,1968494
32,9000000,627674,14,1987603,tt2950418,
127,,455036,168,1908028,tt4262980,
55,6900000,45825,127,1864266,tt2392830,
146,10000000,994431,327,1798472,tt4158096,
100,40000000,114129,168,1721524,tt2513074,24336708
60,15000000,878164,73,1658706,tt1967614,
38,,82434,58,1604101,tt3958780,
44,,706985,9,1499605,tt4978274,
52,1350000,64044,234,1489848,tt4326444,21472253
111,3000000,15972,311,1478960,tt4048272,1390172
15,,31658,36,1398498,tt5991206,
61,,98274,119,1358018,tt1703957,1346531
316,7000000,589014,465,1333124,tt1974419,1333124
149,6000000,79175,312,1305195,tt4714782,269920
119,,747791,29,1250765,tt3859980,
10,,19650,21,1200885,tt5974460,
67,,64537,203,1129408,tt4291600,1007759
26,6000000,127112,93,1063893,tt4370784,
62,,60898,166,1032942,tt4468634,
78,,466447,154,1031598,tt2093991,
23,12620000,31662,33,1022720,tt4939066,
34,3800000,38210,70,1016872,tt3714720,
25,,29402,175,938875,tt4698584,835993
75,,21010,213,920057,tt3666024,787712
39,,18500,151,880474,tt5029608,34723
103,,133941,199,785405,tt5215952,
151,1500000,2603,210,779820,tt3835080,
3,,201960,10,776649,tt5596352,
24,500000,76000,6,756000,tt3190158,
35,2000000,30368,122,702191,tt4919484,
10,,4510,62,691597,tt2936884,
116,8000000,338378,32,685143,tt4196848,
124,,71203,200,662786,tt3721936,1751330
41,,21351,50,606989,tt4721124,
4,,164936,12,595649,tt5735464,547557
12,,208776,37,561963,tt3467914,
7,,157385,24,553754,tt5112622,101900000
47,,149038,140,541457,tt0376479,
17,8620000,165685,71,540268,tt4914580,
134,3500000,24825,266,508425,tt4954522,
77,,24311,138,445392,tt4144190,
5,,181552,42,436596,tt5918090,
18,,34565,68,320725,tt1610525,
55,,13418,126,298484,tt4666726,
35,6500000,28472,174,292279,tt2321405,219663
31,RL 2500000,29129,153,285930,tt5221584,
33,2100000,33090,170,282382,tt4120176,282382
20,,27880,119,267773,tt5294966,
67,,14120,75,259412,tt5195412,
132,,18682,243,258168,tt5168192,
7,,15744,61,257109,tt5078354,
14,,60366,33,248849,tt3914332,
68,,119801,42,233569,tt5595168,
72,,160747,157,228894,tt3908142,
35,30000000,144076,37,217644,tt4486986,
13,50000000,116211,49,217051,tt4687848,
33,,26385,31,198493,tt4129870,
6,,93000,8,197000,tt3774866,
14,,116873,15,190511,tt3228088,
127,6000000,89111,129,177680,tt4334266,
30,2000000,10305,175,175975,tt4936450,
9,,25036,19,174501,tt5918028,
38,,14149,51,166827,tt4230700,
6,,,28,165203,tt4383288,
17,,,137,150549,tt4630550,
198,,30116,192,150372,tt4255304,
17,,32111,25,145368,tt4254584,
3,,10094,29,129547,tt5072406,
17,3500000,123777,11,123777,tt3103166,
17,7000000,6696,118,112621,tt4726636,
17,,,59,112443,tt4353996,
11,,5888,41,107831,tt5974388,
11,15000000,5799,79,106547,tt4621872,
7,,16125,18,93048,tt5787384,
22,,36997,67,93000,tt4158876,
19,,15673,72,88932,tt3652862,
13,LS 3850000,6849,37,83078,tt4365518,
24,,,41,81941,tt4911996,
3,,39589,15,77639,tt6157600,5335450
7,,11729,53,76646,tt3397160,
5,,,11,73236,tt4061944,
30,,7137,40,72622,tt5173032,
4,,65500,39,65500,tt4379728,
4,,13684,44,65250,tt5538568,
10,,,58,64437,tt5061162,
2,,4176,20,63201,tt5446610,
10,1250000,,12,62398,tt3853830,
11,,7977,45,61309,tt4442604,
33,1250000,,67,55000,tt3776826,
22,,8838,82,52713,tt4331970,52713
98,,29343,97,50381,tt3608930,
20,,6132,68,48837,tt4929038,
6,,7455,6,46006,tt3663020,
22,,45255,21,45255,tt3451230,5000000
57,,22500,101,43580,tt4381236,
5,,4029,20,43152,tt5880296,
8,,8002,57,42694,tt5129510,
4,,6833,26,41528,tt4777584,
32,,10422,11,39361,tt4196832,
80,20000000,39000,121,39000,tt2368619,14397593
7,,7056,22,38578,tt5254640,
13,,9249,131,38265,tt3082854,
16,10300000,4473,98,37757,tt3794028,
3,,11483,73,37062,tt5078134,
30,,,45,36877,tt4560008,
70,8000000,35070,73,35070,tt3606888,
11,,23316,49,32919,tt4872078,
60,,14000,159,30999,tt4273292,
5,,5636,9,30348,tt4532818,
15,,,78,30157,tt4795546,
12,,5832,40,30093,tt5186236,
4,,2244,35,28753,tt4741774,
17,,11624,53,28505,tt5129682,
17,,,18,28368,tt2395339,
9,,28000,77,28000,tt4451458,
11,,2718,78,27593,tt5265960,
27,,7226,31,27312,tt0995868,
59,,8908,152,25981,tt5225338,
3,500000,2053,12,24356,tt3990782,
2,,5869,9,23562,tt4637878,
12,,23020,78,23020,tt4437216,
1,,2523,21,21787,tt5698496,12195
15,,4605,94,21464,tt5039088,
5,,21001,19,21001,tt5639650,
117,,12569,171,20369,tt4443658,
17,,13944,22,19025,tt2989524,
