Cumulative Worldwide Gross,Opening Weekend USA,user review number,Gross USA,critic number,imdbID,budget
205312667,3585852,153,15090400,266,tt0876563,34000000
,97260,120,14879423,156,tt1046947,
41412264,1900523,31,14532946,71,tt0486321,25000000
34816824,6945535,365,14190901,108,tt1213644,20000000
43306325,190426,144,13823741,194,tt0864761,13500000
,5423315,113,13350177,74,tt1045655,5000000
,5012315,152,13214030,203,tt0995039,20000000
,293369,288,12796277,235,tt1084950,
,4251320,22,12701880,36,tt0475998,15000000
16051363,2490942,103,12294036,129,tt0970468,
,5401605,25,12081447,86,tt1111948,
16174377,219190,138,12062558,195,tt0862846,8000000
50650079,5251918,113,11802056,124,tt0765476,60000000
,4080687,19,11508423,44,tt1091751,23000000
,4050655,243,11169531,246,tt0799934,20000000
,4926565,411,10955425,257,tt0483607,30000000
,4555117,99,10911750,144,tt0489281,25000000
,4000000,23,10000000,36,tt1018830,5000000
,4562675,48,9589875,85,tt0469903,40000000
,4092465,116,9496882,158,tt0858479,
,253085,421,9030581,187,tt0914798,12500000
15079259,3607164,102,8402485,100,tt1135985,19000000
,3445559,92,8195551,80,tt1042877,12000000
10100036,4271451,288,7948159,154,tt0450314,35000000
,3477996,187,7916887,149,tt1046997,45000000
17929684,3129473,109,7873007,118,tt0970411,55000000
,457227,552,7757130,311,tt0780536,15000000
,4025115,55,7563670,99,tt0785007,10000000
,3531664,24,7502429,73,tt1151915,
,3656000,206,7001720,45,tt1190617,12000000
,3001719,122,6563357,56,tt0489282,20000000
,339616,97,6414563,129,tt0412536,20000000
8767338,2636048,103,6409528,129,tt1031969,15000000
25739015,144701,202,5694401,208,tt1032755,18000000
,439925,77,4881867,129,tt1104733,9000000
,2619730,79,4693919,41,tt0844671,6500000
,2312146,105,4597760,119,tt0800240,25000000
,2251075,48,4234040,99,tt1054588,20000000
,2116692,20,4131640,35,tt1001562,7500000
,277839,87,4040588,107,tt0914797,5000000
,155190,90,3766595,217,tt1068646,
14894347,104168,115,3581642,138,tt0974554,13000000
,90400,114,3519627,182,tt0844286,20000000
,73867,206,3494485,219,tt1045670,
,1602356,119,3440718,35,tt0449994,NR 400000000
3393161,36884,55,3393161,66,tt0961108,8000000
,64731,118,3167876,137,tt1068649,
,117591,102,3148482,191,tt1103275,12000000
,172194,286,3081925,250,tt0383028,21000000
,1950260,306,3073392,231,tt0861689,25000000
3982459,1319286,76,2926565,158,tt1024715,3000000
17286299,1430294,100,2778752,135,tt0455538,27000000
,143038,82,2656324,132,tt0808244,
4028957,70234,98,2508841,154,tt0978759,1000000
,63361,121,2344847,160,tt1012804,7000000
,69055,156,2283276,235,tt1185616,1500000
279000,95,65,2245000,37,tt0962711,4000000
,34615,165,2203641,152,tt0800241,15000000
7282007,49295,535,2122065,475,tt1139797,4000000
2899975,138401,79,2077116,134,tt1082886,6000000
,46209,41,2024225,81,tt1130088,
,805219,72,1836515,88,tt1029120,
,211460,32,1826674,97,tt0405393,
,49484,51,1641025,134,tt0836700,4400000
,380776,75,1585859,136,tt0808399,14700000
34861529,5532,129,1577639,222,tt0929425,
,74945,128,1542989,172,tt1069238,
,63638,72,1186957,159,tt1175506,25000000
,60140,34,1081922,99,tt0990413,
,63837,27,1060602,136,tt0993789,
,55760,33,1027749,66,tt0889588,40000000
,46518,41,1005168,85,tt0869994,12000000
,375916,72,933224,81,tt1082853,
,38637,29,881839,103,tt1048171,
,38042,53,871275,101,tt1095442,
,18218,117,856942,193,tt1152850,200000
,44690,20,850575,69,tt0948535,
,115004,45,748363,80,tt0460810,
,23050,39,710993,88,tt0844457,
,13090,20,673721,93,tt1277728,500000
,115053,98,655647,88,tt1277737,
,68283,50,630649,26,tt0840322,
127814609,13104,111,627047,162,tt0425637,NY 553632000
,40443,31,606126,93,tt0961066,4773906
,83755,16,601923,49,tt1139800,
1299855,45714,111,580862,76,tt0884224,10000000
,329836,76,574940,48,tt0837796,2500000
,14602,36,566052,87,tt1172963,
,243162,21,552933,32,tt1152397,
,152873,62,551660,136,tt1259014,
,14937,40,542860,113,tt0795441,4000000
,511920,27,511920,43,tt0361500,40000000
,54044,30,497252,28,tt1094241,
,73394,49,480339,60,tt1104083,2500000
,17348,110,476270,161,tt0765432,20000000
,20119,140,470691,166,tt1130988,10000000
,34000,53,429307,157,tt0363780,1500000
,30493,53,406252,72,tt0803057,8000000
,23460,27,351059,94,tt0976060,
,74981,25,346286,58,tt0967945,5000000
,34411,21,337696,134,tt1186369,
,37296,37,317040,58,tt0954990,15500000
,300000,93,300000,95,tt0865554,18000000
,39358,41,293614,105,tt1074929,4700000
,12439,38,291812,49,tt1035730,
,28345,33,277315,126,tt0938341,2500000
,100242,37,275125,113,tt0411272,21166000
5787152,172544,145,270659,72,tt0449487,25000000
11260366,13867,47,239294,133,tt1023490,5700000
,23880,59,237958,51,tt0460745,
,49770,67,206678,82,tt0940709,
,58749,58,200399,127,tt1068641,20000000
,100164,129,194287,87,tt0411475,
,183088,37,183088,55,tt0981072,15000000
,6464,19,177511,115,tt1100048,
,47762,30,168972,40,tt0888693,
,20298,33,163512,117,tt1087578,
,59581,161,160641,112,tt0462465,50000000
,8620,22,156331,97,tt0436854,2150000
,1980,144,154084,221,tt0986233,1500000
10186084,15254,45,145109,81,tt0920458,KK 45000000
,19029,267,140244,149,tt0963194,8500000
,8640,43,140016,92,tt0923600,
,4775,78,128486,153,tt0901487,10000000
,4584,18,124720,26,tt1150947,5000000
,22872,15,119382,42,tt0896031,6500000
,7863,15,115927,68,tt0997246,
,59078,28,115504,22,tt1049405,14000000
,12625,18,110869,48,tt1133989,13000
,54244,109,108662,77,tt0964539,8000000
,16290,10,106093,64,tt1065332,
,10940,158,104792,231,tt1172570,
,3322,31,103797,68,tt0910559,
,10294,44,102079,70,tt1176251,
,26564,76,102055,112,tt0785035,HB 300000000
,14778,24,99775,81,tt1221141,
,9297,22,91330,61,tt1037228,
2136663,10342,39,87944,42,tt0865297,UD 5000000
